X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
-0.088735	-0.038275	0.013476	-0.081034	-0.113547	-0.125998	-0.020664	0.004726	-0.233102	0.003404	0.095710	-0.032431	0.008107	0.074933	0.075805	0.091331	0.140360	0.168322	0.292542	0.251689
-0.137946	-1.047545	-0.918622	-0.905395	-0.951463	-0.604137	-1.005832	-1.216569	1.357376	-0.999381	-2.073598	-1.118793	-0.519065	-0.586815	-0.731719	-1.026392	-0.743297	-0.806224	-0.722992	-0.197449
-0.086188	-0.932812	-1.153331	-1.265131	-1.303528	-0.900636	-1.217016	-1.603485	1.709185	-1.102008	-1.949099	-1.107384	-0.667875	-0.566834	-0.849289	-1.353641	-0.824721	-1.079194	-1.165562	-0.766101
0.262799	0.194723	-0.637393	-1.080184	-1.020606	-0.859602	-0.653561	-1.114569	1.104574	-0.110234	-0.241771	-0.090943	-0.316947	0.121780	-0.305645	-0.822727	-0.180736	-0.602966	-0.980885	-1.150834
0.990291	1.259836	0.131670	-0.680985	-0.350592	-0.496645	-0.009477	-0.421372	0.826236	1.116291	0.527633	0.842045	0.359157	0.973671	0.295878	-0.042129	0.407548	0.042005	-0.546042	-0.977758
1.773497	1.458775	0.710470	-0.430616	0.314345	-0.067300	0.117260	-0.142460	1.379939	1.290402	-0.496280	0.860784	0.973769	1.567972	0.503061	0.374131	0.387088	0.283900	-0.186260	-0.400364
1.989512	0.891746	0.994410	-0.364061	0.712451	0.129633	-0.195087	-0.304881	1.884911	0.073799	-1.682288	0.169637	1.096723	1.642580	0.386959	0.313810	-0.047898	0.084307	0.028553	-0.009291
1.237906	0.141535	0.941395	-0.271047	0.727634	0.030548	-0.425475	-0.525592	1.345196	-1.353935	-1.455526	-0.464037	0.586446	0.981592	0.243567	0.063888	-0.359501	-0.176426	0.059118	-0.172507
-0.220416	-0.396275	0.396881	-0.024240	0.323850	-0.123274	-0.263151	-0.514639	0.010800	-1.541252	-0.274841	-0.629932	-0.204659	-0.211175	0.159627	-0.118772	-0.335566	-0.208792	-0.228321	-0.680730
-1.557767	-0.700351	-0.538987	0.332372	-0.295678	0.019616	0.158218	-0.241751	-0.916538	-0.465950	0.402686	-0.501455	-0.743128	-1.021987	0.003718	-0.213227	-0.170418	-0.066131	-0.772125	-1.023877
-1.963132	-0.849573	-1.223998	0.718842	-0.582026	0.595208	0.616475	0.303013	-0.743932	0.542124	0.174880	-0.332148	-0.830234	-0.604066	-0.235766	-0.249238	-0.009379	0.080844	-1.077333	-0.837535
-1.247295	-0.761476	-0.987238	1.044528	-0.079067	1.304361	1.075820	1.190596	-0.049203	0.592712	-0.072078	-0.104810	-0.648723	0.631296	-0.323962	-0.113396	0.237826	0.201869	-0.605805	-0.113477
0.031834	-0.310783	0.064080	1.169869	0.954385	1.592524	1.460789	2.194045	0.087144	0.258975	0.398395	0.223702	-0.392900	1.186485	-0.129000	0.275494	0.519598	0.309232	0.518128	0.800227
1.025812	0.321417	1.069781	1.042647	1.675706	1.209610	1.463484	2.629120	-0.676030	0.426185	1.256398	0.449847	-0.114865	0.172151	0.059686	0.669524	0.447252	0.284132	1.448233	1.392752
1.228139	0.611392	1.320578	0.832865	1.550888	0.550444	0.930455	2.028452	-1.670594	0.737476	1.699290	0.378620	0.076468	-1.558983	-0.154853	0.624309	-0.164333	0.042020	1.460858	1.427527
0.749789	0.184914	0.908828	0.749970	0.871179	0.238886	0.291921	0.932590	-2.032841	0.053138	1.446765	0.180982	-0.043430	-2.369506	-0.670075	0.023262	-0.768185	-0.219088	0.718234	1.208249
0.061892	-0.690098	0.403807	0.737971	0.248630	0.377797	0.177389	0.459126	-1.529366	-1.634807	0.864248	0.176832	-0.506964	-1.686302	-0.899849	-0.675252	-0.568356	-0.204388	-0.014586	1.139363
-0.476174	-1.266609	0.119966	0.518639	-0.122375	0.445318	0.572411	0.889959	-0.611053	-2.714854	0.363313	0.333455	-0.932650	-0.439765	-0.492468	-0.856302	0.421910	0.052976	-0.280639	1.064912
-0.810018	-1.046197	-0.071646	-0.029377	-0.451591	-0.002761	0.730926	1.187830	0.097791	-1.899770	0.020764	0.310254	-0.845179	0.255750	0.217094	-0.398140	1.183477	0.196152	-0.265437	0.477400
-0.983774	-0.295193	-0.314604	-0.661207	-0.814397	-0.760408	0.079299	0.308392	0.279729	-0.032034	-0.239416	0.018881	-0.242694	0.302618	0.612614	0.190842	0.773633	0.006414	-0.303770	-0.594836
-0.935153	0.215250	-0.473333	-1.016181	-0.992112	-1.251111	-1.034769	-1.371143	0.060882	0.856260	-0.396722	-0.210099	0.310919	0.256391	0.436762	0.306953	-0.582729	-0.358214	-0.480800	-1.460013
-0.639120	-0.018833	-0.423755	-1.036170	-0.861569	-1.223718	-1.672585	-2.448654	-0.181747	0.052538	-0.461201	-0.166235	0.226642	0.234682	-0.146032	-0.156803	-1.721554	-0.637569	-0.814174	-1.686402
-0.352694	-0.735190	-0.439779	-1.031280	-0.666318	-0.951619	-1.285078	-2.151979	-0.149345	-1.117164	-0.660223	-0.129532	-0.534777	-0.192974	-0.878206	-0.772344	-1.773397	-0.750464	-1.362693	-1.601657
-0.462199	-1.168087	-0.943972	-1.234279	-0.726668	-0.753547	-0.270835	-1.082892	0.177431	-1.136228	-1.141741	-0.404072	-1.405321	-1.084085	-1.472223	-0.998785	-0.933451	-0.702527	-1.872609	-1.581486
-0.964619	-0.793199	-1.776839	-1.340449	-0.955384	-0.541536	0.399616	-0.337067	0.590448	-0.050789	-1.514798	-0.744951	-1.640620	-1.712085	-1.486697	-0.582435	-0.033509	-0.451583	-1.736890	-1.362355
-1.258220	0.182723	-2.034395	-0.744815	-0.865740	-0.021428	0.114495	-0.356222	0.829496	0.960503	-1.110994	-0.670027	-0.879377	-1.370915	-0.603681	0.279775	0.374439	-0.041255	-0.760566	-0.554979
-0.725610	1.033557	-1.019974	0.603790	-0.190736	0.743444	-0.746871	-0.740491	0.703695	1.143560	0.133440	-0.215939	0.518889	-0.272339	0.811871	0.997613	0.380748	0.296849	0.291019	0.463234
0.435167	1.184354	0.714482	1.828684	0.632717	1.233562	-1.133867	-0.803036	0.170226	0.771902	1.392133	0.074415	1.624985	0.676332	1.742752	0.949787	0.342989	0.367106	0.434694	0.766425
1.260001	0.722761	1.742437	1.956235	0.874891	1.059352	-0.398594	-0.151473	-0.547565	0.481882	1.783322	-0.044208	1.624919	0.900115	1.435704	0.082876	0.404155	0.277722	-0.279552	0.037264
1.114333	0.309737	1.349331	1.044315	0.432633	0.477773	0.937269	0.966317	-0.935055	0.494405	1.271530	-0.151040	0.595323	0.738418	0.251320	-0.837665	0.455243	0.348113	-0.741527	-0.923025
0.503620	0.534979	0.352652	0.110992	0.022080	0.121980	1.633816	1.704772	-0.509408	0.528211	0.493160	0.183136	-0.415313	0.936619	-0.640085	-0.863819	0.411990	0.715450	-0.165133	-1.069897
0.456684	1.302940	0.042209	-0.076734	0.300656	0.289457	1.052272	1.311542	0.638507	0.267071	-0.108264	0.692615	-0.305312	1.659700	-0.458723	0.116419	0.361453	1.101799	0.875267	-0.290911
1.236530	1.939087	0.652970	0.258626	1.100078	0.727350	-0.064519	0.079882	1.726127	-0.166907	-0.542887	0.798270	0.960912	2.225134	0.484797	1.240663	0.496742	1.120442	1.161507	0.562361
2.055688	1.921706	1.333678	0.493172	1.772882	1.104468	-0.308577	-0.629432	1.949488	-0.231132	-0.717225	0.581248	2.254578	1.955551	1.345545	1.721507	1.004947	0.853608	0.439887	0.775235
2.055303	1.315727	1.385609	0.472796	1.998810	1.386020	0.846576	0.226759	1.280590	0.423991	-0.257222	0.807591	2.395692	1.102882	1.699268	1.716121	1.851586	0.849368	-0.179532	0.607258
1.203796	0.474226	0.955398	0.440105	1.877663	1.587256	2.362690	1.999419	0.406926	1.360954	0.757451	1.750367	1.297397	0.566671	1.679437	1.780151	2.497916	1.284515	0.364105	0.827849
0.191518	-0.306005	0.524752	0.395599	1.446012	1.422401	2.637651	2.796994	-0.068278	1.654041	1.418930	2.455423	-0.060096	0.704903	1.408056	1.752417	2.092242	1.420174	1.645812	1.564900
