X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
0.200398	0.192456	0.257584	-0.136322	-0.003260	0.161253	0.217849	0.293511	0.060084	0.427484	0.212105	0.164002	-0.075613	-0.010418	0.143344	0.207421	0.558880	-0.026137	-0.432624	0.390279
-0.827803	-0.233315	0.107047	-0.235495	0.225048	0.122815	-1.048543	-1.291944	-0.530784	-0.667980	-1.231183	-0.769309	-1.026047	-0.604801	-0.171910	-0.407044	-1.001259	-0.884979	-0.819084	-0.689153
-0.894430	-0.402845	0.201499	0.044371	0.483842	0.196304	-0.761312	-1.268448	-0.420847	-0.486301	-0.891020	-0.626981	-0.866092	-0.755583	-0.103984	-0.172125	-0.592926	-0.353708	-0.624664	-0.723169
-0.200352	-0.364453	0.581645	0.712800	0.928350	0.623196	1.078924	0.284693	0.240126	0.645956	0.683214	0.455234	0.216389	-0.157589	0.405989	0.953632	1.363336	1.439646	0.140102	0.433746
0.294907	-0.339220	1.062019	1.238293	1.611022	1.374069	2.969387	1.877622	0.778289	1.420587	1.383848	1.274946	1.142885	0.945687	0.918192	2.116550	2.717615	2.911573	0.943636	1.852766
0.190379	-0.428470	1.365904	0.911048	2.169741	1.748998	3.323755	2.244150	0.917849	1.263519	0.324148	0.929151	1.329538	1.659192	0.765525	2.268147	2.185843	2.605061	1.297363	2.226892
0.039352	-0.591190	1.295395	-0.355101	2.022986	0.924544	1.782740	1.337613	0.912857	0.651382	-1.125398	-0.177031	1.078457	1.226780	-0.211229	1.097179	0.516259	0.648681	1.118102	0.997274
0.408089	-0.747453	0.872312	-1.630224	1.046991	-0.846328	-0.555061	0.020384	0.833507	-0.001189	-1.290326	-0.864541	0.712144	-0.004224	-1.212478	-0.574909	-0.739463	-1.369873	0.600632	-0.955709
1.003222	-0.721522	0.339904	-1.692964	-0.129142	-2.030188	-1.986535	-0.745486	0.310950	-0.843760	-0.326379	-0.548383	0.088237	-0.811245	-1.149821	-1.425298	-0.866881	-1.906203	-0.018534	-1.926815
1.040123	-0.256504	-0.078131	-0.334583	-0.768611	-1.372636	-1.574816	-0.535029	-0.708531	-1.777310	0.320870	0.237239	-0.758988	-0.481828	0.063742	-0.884751	-0.303738	-0.837015	-0.485223	-1.064972
0.290902	0.621908	-0.459747	1.229862	-0.865932	0.487779	0.001829	0.260164	-1.409741	-1.918922	0.148848	0.634992	-1.196114	0.328308	1.224661	0.250568	0.119799	0.535189	-0.573386	0.620809
-0.612630	1.327112	-1.090995	1.548459	-1.026676	1.588620	1.074757	0.755466	-0.923904	-0.590159	0.206277	0.410581	-0.813093	0.389452	1.114513	0.658536	-0.071342	0.794238	-0.361341	1.292594
