X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
-0.036620	-0.036846	-0.229716	-0.135722	-0.114572	0.040238	-0.010485	0.142696	0.024838	0.124252	-0.144734	-0.035827	-0.062694	-0.052974	0.002826	-0.133101	0.117147	0.320050	-0.097897	-0.074841
-0.633430	-0.197982	0.732280	0.309057	-0.906149	-1.637136	-1.020245	-0.339729	0.102045	0.025827	0.614470	0.570104	-0.363380	0.642708	-0.187692	0.454187	-0.048479	-0.262483	-0.911730	0.234868
-0.967440	-0.444140	1.115876	0.522163	-0.706067	-1.319964	-1.279494	-0.560620	-0.262356	-0.017895	-0.038058	0.192372	-0.495820	0.054986	0.218163	0.673478	-0.244854	-0.542289	-0.660128	0.624824
-0.975456	-1.052954	0.776298	0.271220	0.152552	0.331832	-0.962329	-0.668007	-1.030311	-0.418798	-1.445766	-0.602660	-0.651105	-1.358936	0.811034	0.414728	-0.559082	-0.469929	0.009493	0.546323
-0.822832	-2.077295	0.116039	-0.349059	0.638177	1.152809	-0.740559	-0.869485	-1.709529	-1.490332	-1.651941	-0.379975	-1.029556	-2.022852	0.645087	-0.140076	-0.888249	-0.154425	-0.335327	-0.533441
-0.725917	-2.864000	-0.303563	-0.799451	0.546269	0.519163	-0.720761	-0.951583	-1.836266	-2.584424	-0.021944	1.109783	-1.366425	-1.268202	-0.404457	-0.671571	-0.781264	0.329099	-1.668810	-2.033174
-0.718427	-2.469253	-0.341506	-0.646236	0.562187	-0.168066	-0.398035	-0.577575	-1.347609	-2.472458	1.788394	2.341568	-1.188328	-0.004034	-1.317175	-0.915550	0.070558	0.833405	-2.314639	-2.525298
-0.608106	-0.756091	-0.341905	-0.109966	0.896952	0.143928	0.342356	0.071793	-0.494099	-0.845035	1.834865	1.803861	-0.438818	0.628981	-1.205972	-0.819973	1.118839	0.958226	-1.200584	-1.367682
-0.224884	1.193771	-0.505960	0.248011	0.830401	0.737483	0.829320	0.411332	0.410366	1.051454	0.228782	-0.132258	0.442359	0.557690	-0.461230	-0.578605	1.223291	0.336084	0.628715	0.414190
0.273275	2.040515	-0.468096	0.274521	-0.005710	0.524082	0.546721	0.233438	1.048304	1.697380	-1.170203	-1.628426	0.967302	0.403306	-0.126338	-0.442611	0.022468	-0.772613	1.347029	1.278540
0.457639	1.477504	0.103705	0.267960	-0.742644	-0.229892	-0.047760	-0.047000	1.129246	0.945082	-1.096067	-1.462599	0.925145	0.388958	-0.424282	-0.440747	-1.320327	-1.480361	0.596574	0.869348
0.130325	0.390153	0.700116	0.319154	-0.436940	-0.447827	-0.176745	-0.058530	0.633640	-0.040682	-0.126671	-0.237160	0.447765	0.250854	-0.600730	-0.366834	-1.347827	-1.178303	-0.350535	0.087508
-0.306266	-0.168431	0.481128	0.146020	0.451608	0.074328	0.156653	0.048510	0.002291	-0.286286	0.430665	0.518458	-0.024686	-0.030794	-0.205923	-0.121845	-0.144149	-0.291866	-0.398244	-0.264428
-0.236147	0.055483	-0.365936	-0.243679	0.672778	0.500475	0.339590	0.018545	-0.175402	0.085818	0.130138	0.084076	-0.045756	-0.118590	0.255408	0.076477	0.738564	0.201442	0.221113	-0.211023
0.372971	0.497915	-0.638397	-0.307355	0.004133	0.314104	0.176234	-0.045411	0.182850	0.430933	-0.466634	-0.835973	0.345606	0.055878	0.257907	0.029483	0.272038	-0.042200	0.670196	-0.011980
0.850000	0.439074	0.221282	0.183807	-0.442106	-0.031541	0.113936	0.042034	0.437837	0.419563	-0.663453	-1.076152	0.610094	0.137765	0.142064	-0.026084	-0.775725	-0.378619	0.650462	0.332508
0.637910	-0.380129	1.311631	0.525970	0.262878	0.024003	0.494981	0.158886	-0.100946	0.022597	-0.220068	-0.336203	0.337900	-0.061986	0.453943	0.298999	-0.918604	-0.103872	0.388185	0.636218
-0.051640	-1.562571	1.555210	-0.062400	1.690746	0.321405	1.050058	0.095055	-1.276910	-0.791479	0.574919	0.526155	-0.302104	-0.282516	0.805622	0.828861	0.100869	0.553155	-0.088418	0.292513
-0.595417	-2.291392	1.041483	-1.194365	2.546776	0.387057	1.225180	-0.066361	-2.060105	-1.820690	1.097757	0.510992	-0.837257	-0.277209	0.190309	0.812102	0.993005	0.674585	-0.994312	-0.849393
-0.687473	-1.880369	0.524280	-1.583085	2.016152	0.251157	0.808624	-0.049756	-1.551064	-2.362049	0.922586	-0.287228	-0.967374	-0.203074	-1.508126	-0.143981	0.566747	-0.130914	-2.083625	-1.774453
-0.442720	-0.348277	0.187353	-0.620227	0.527661	0.376014	0.147096	0.225978	0.042603	-1.734625	0.330288	-0.719867	-0.648821	-0.309566	-2.976904	-1.430663	-0.785211	-1.112345	-2.474566	-1.275357
