X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
-0.072598	-0.008140	0.059109	0.228036	0.192484	0.236376	0.034510	0.167716	-0.097909	0.010294	-0.043279	0.119193	-0.063791	-0.102630	0.067654	0.023179	0.056616	0.127600	0.142691	0.170546
0.791030	0.307848	-1.205128	-1.142710	-1.109417	-1.239487	-0.707113	-0.795689	-0.531930	0.186790	0.930781	-0.111042	-0.820210	-1.201011	-0.598334	-1.048578	-0.194546	0.111084	-0.863217	-0.510710
0.758933	-0.006643	-1.911360	-1.451415	-1.693758	-1.875713	-1.230711	-1.297556	-0.633239	0.037476	1.019434	0.137153	-0.862545	-1.054144	-1.366647	-1.410450	-0.834323	-0.533853	-1.574654	-1.064350
0.238269	-0.626028	-1.825684	-0.977419	-1.291481	-1.625275	-1.243713	-1.173156	-0.054974	-0.226438	0.122667	0.717705	-0.158825	0.325256	-1.811697	-1.107821	-1.435840	-1.308236	-1.717646	-1.264467
0.168876	-0.776939	-1.144666	-0.775265	-0.223147	-1.033928	-0.603861	-0.586660	1.089070	-0.225674	-0.963271	1.103819	0.496089	1.733338	-1.407566	-0.751224	-1.183644	-1.159991	-1.231869	-0.984930
0.482844	-0.386826	-0.306237	-1.094082	0.860820	-0.477467	0.405865	0.159882	1.999265	-0.063110	-1.349521	1.097582	0.232437	2.031618	-0.365475	-0.677342	-0.016182	-0.012487	-0.413016	-0.409574
0.324905	-0.085581	0.296103	-1.156919	1.391150	0.012693	1.191090	0.760633	1.976072	-0.116651	-1.009653	0.932351	-0.827667	1.191612	0.384464	-0.598648	1.088737	0.921678	0.259277	0.106828
-0.340046	-0.110555	0.480042	-0.522002	1.146372	0.288525	1.317843	0.928611	1.340176	-0.276518	-0.691353	0.709576	-1.499300	0.083105	0.215100	-0.147204	1.150377	0.589350	0.489326	0.387776
-0.422100	0.102974	0.344253	0.219950	0.354946	0.064712	0.877965	0.570123	1.029115	0.009556	-0.807444	0.247349	-0.795606	-0.535344	-0.422438	0.543624	0.284239	-0.559454	0.389848	0.588254
0.619476	0.937785	0.193111	0.451677	-0.382841	-0.455531	0.373330	0.036019	1.240982	0.731057	-0.811069	-0.319803	0.883077	-0.596929	-0.548380	1.005807	-0.496815	-1.105451	0.320845	0.927288
