X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
-0.001837	0.063911	0.010362	0.076068	0.076017	0.067584	-0.005162	-0.009186	-0.241119	-0.117243	0.096919	0.012221	0.008918	0.026202	-0.061664	0.019493	-0.063792	-0.023853	0.022949	-0.001045
-0.536250	-0.942562	-0.167878	-0.412437	0.532982	-0.387261	0.490225	0.718184	0.957866	0.223351	-0.691479	0.230060	-0.524422	0.360869	0.031632	-0.590137	0.160867	-0.262319	-0.109064	-0.181031
-0.397431	-0.879091	-0.280706	-0.430018	0.315595	-0.495037	0.475064	0.635040	0.762455	0.176139	-0.639676	0.290788	-0.602014	0.300513	0.012501	-0.593824	0.034448	-0.273923	-0.229145	-0.263810
0.031748	-0.041262	-0.231401	-0.076173	-0.357473	-0.191217	-0.083105	-0.194837	-0.403535	-0.240620	0.007480	0.098669	-0.264677	-0.039964	-0.170103	-0.138900	-0.317161	-0.185771	-0.252219	-0.208795
-0.204278	0.332092	-0.225100	0.049480	-0.857456	0.186756	-0.799822	-0.993645	-1.115955	-0.661271	0.191835	-0.287525	-0.027802	-0.267697	-0.486412	0.114293	-0.567737	-0.308546	-0.303684	-0.144999
-1.254644	-0.375923	-0.718973	-0.502467	-1.059388	0.161788	-1.268642	-1.166479	-0.902406	-0.763561	-0.662656	-0.730933	-0.328571	-0.320362	-0.884948	-0.202882	-0.737754	-0.706181	-0.779552	-0.358004
-2.115967	-1.514240	-1.633440	-1.491369	-1.183459	-0.369350	-1.295071	-0.817454	-0.466216	-0.562663	-1.944529	-1.213604	-1.029469	-0.548504	-1.278238	-0.810773	-1.099015	-1.115656	-1.746470	-0.990654
-1.870039	-2.100158	-2.046024	-2.124962	-1.093063	-0.938879	-0.937446	-0.447944	-0.414459	-0.412234	-2.591614	-1.774998	-1.540216	-1.171357	-1.406286	-1.104168	-1.600513	-1.244547	-2.519050	-1.741038
-0.862244	-1.912621	-1.216866	-1.756949	-0.452458	-0.949495	-0.506571	-0.390632	-0.633101	-0.700333	-2.259408	-2.200367	-1.376583	-1.868385	-0.933681	-0.720772	-1.766257	-0.979815	-2.290191	-2.022876
-0.199521	-1.373243	0.353408	-0.487990	0.555246	-0.288750	-0.342424	-0.544452	-0.743021	-1.366816	-1.429385	-1.984864	-0.524775	-2.027773	0.088381	0.095137	-1.268640	-0.366900	-1.089968	-1.509094
-0.262785	-0.721468	1.421968	0.901693	1.289489	0.600954	-0.371212	-0.484916	-0.494788	-1.720881	-0.524903	-0.821835	0.649014	-1.322950	1.045542	0.675379	-0.350948	0.390487	0.278061	-0.438141
-0.332351	0.125281	1.387698	1.614461	1.426402	1.205548	-0.093845	0.144508	0.220240	-1.032661	0.510518	0.869171	1.683570	-0.006617	1.361556	0.621109	0.466953	0.932506	1.169673	0.627066
0.185825	0.946950	0.679557	1.405892	1.178310	1.295701	0.692194	1.180405	1.187337	0.506590	1.548432	2.062238	2.183671	1.229421	1.154236	0.268574	0.929466	1.007878	1.511410	1.204592
0.777987	1.081818	-0.086621	0.538586	0.732519	0.825019	1.375042	1.916680	1.694551	1.647190	1.774319	1.941494	1.840594	1.611456	0.938864	0.225744	1.117518	0.774264	1.296200	1.044654
0.515274	0.215885	-0.726395	-0.619395	-0.021173	-0.167806	1.159951	1.733085	1.095589	1.256757	0.553763	0.648839	0.549063	0.737250	0.764199	0.471035	1.113505	0.578289	0.301518	0.148741
-0.644466	-1.064572	-1.208139	-1.762800	-1.042113	-1.331673	0.125231	0.752809	-0.271224	-0.381229	-1.366602	-0.833242	-1.324175	-1.001002	0.127352	0.274117	0.864759	0.400714	-1.303020	-1.112721
-1.813197	-1.879049	-1.362435	-2.525758	-1.837521	-1.968464	-0.830583	-0.293654	-1.185896	-1.770598	-2.336839	-1.566674	-2.901365	-2.464520	-1.106787	-0.795036	0.403993	-0.116920	-2.509206	-2.032927
-2.293579	-1.992913	-1.167181	-2.498731	-1.917224	-1.623099	-1.118195	-0.835590	-0.893293	-1.800875	-1.688788	-1.389520	-3.292813	-2.574933	-2.142905	-2.038772	-0.033395	-0.929991	-2.297560	-2.047884
-2.154265	-1.772743	-0.903130	-1.569210	-1.344375	-0.647990	-1.001958	-0.864632	-0.021588	-0.831255	-0.465593	-0.797419	-2.280805	-1.288104	-2.014325	-2.187875	-0.228398	-1.301265	-0.889080	-1.251679
-1.637713	-1.362307	-0.669121	-0.193914	-0.573550	0.136698	-0.827980	-0.574335	0.240249	0.009680	0.086592	-0.255673	-0.513118	0.322486	-0.751746	-0.841806	-0.158261	-0.654751	0.403284	-0.241247
-0.649764	-0.452989	-0.072021	0.883441	0.106043	0.349833	-0.300544	0.026396	-0.351763	0.248681	0.128190	0.224515	0.988185	1.087693	0.595928	0.925371	0.125190	0.553481	0.740487	0.578665
0.756341	0.952536	1.128989	1.278647	0.662378	0.320927	0.899723	0.854602	-0.926727	0.337097	0.684020	0.832811	1.537017	0.819188	1.108724	1.633655	0.586662	1.277617	0.637713	1.268974
1.833380	2.005857	2.234510	1.147445	0.923121	0.372661	2.079554	1.330837	-0.788731	0.645284	1.803387	1.415018	1.119166	0.276328	0.786408	0.933508	1.018806	1.046764	0.900292	1.810007
1.708013	1.744547	2.063059	0.664751	0.507762	0.196806	1.929659	0.736339	-0.301465	0.805704	2.129145	1.379802	0.210910	0.153867	0.116610	-0.202554	0.995241	0.285027	1.205552	1.673379
0.470680	0.327008	0.441928	-0.222732	-0.564768	-0.631148	0.213408	-0.774888	-0.234131	0.331660	0.689401	0.371433	-0.587286	0.399099	-0.616293	-0.695039	0.345407	-0.349424	0.586500	0.481320
-0.765062	-0.903290	-1.136803	-1.170155	-1.413657	-1.629889	-1.539612	-1.874010	-0.657032	-0.513131	-1.397096	-0.972428	-0.819303	0.632469	-1.178961	-0.342133	-0.404786	-0.474881	-0.761930	-1.005677
-1.043529	-0.845624	-0.872453	-1.112704	-0.948009	-1.546190	-1.612515	-1.310647	-0.946866	-0.944695	-1.842409	-1.351863	-0.389885	0.833108	-1.020760	0.376409	-0.483850	0.004102	-1.224990	-1.310102
-0.530800	0.105192	1.238837	0.572695	0.786927	0.108709	-0.135680	0.504986	-0.711061	-0.665884	0.029338	-0.253536	0.299322	1.145558	0.141877	0.918790	0.102084	0.812319	0.113519	-0.010629
-0.104869	0.612339	3.067073	2.731287	2.264743	2.073581	1.093936	1.715012	-0.185711	-0.180773	2.179475	1.212559	0.613816	1.238979	1.465104	0.901677	0.393669	1.216445	1.887649	1.478307
-0.162787	0.129208	2.525257	3.238224	1.980839	2.523051	0.837176	1.108215	0.336286	0.014859	2.170079	1.466872	0.338077	0.569426	1.588046	0.212950	-0.319774	0.590658	1.970416	1.491572
-0.176627	-0.442890	-0.066635	1.455599	0.240947	1.171289	-0.218937	-0.446757	0.919834	0.126720	0.117285	0.357249	-0.035205	-0.598721	0.377685	-0.707794	-1.400532	-0.729648	0.249501	0.132495
0.418787	-0.093121	-2.311202	-0.872181	-1.128618	-0.434257	-0.639731	-1.172207	1.510098	0.566284	-1.590181	-0.721906	0.063196	-1.163282	-0.725901	-1.055003	-1.542227	-1.590269	-1.240725	-0.984090
1.186123	0.785947	-2.469522	-1.665767	-1.018301	-0.856053	-0.186530	-0.643915	1.564144	1.045844	-1.406058	-0.694705	0.461547	-0.607891	-0.603192	-0.555977	-0.536796	-1.299847	-1.068197	-0.860298
1.104831	0.928100	-1.210925	-0.846522	-0.275625	-0.336152	0.144837	-0.067323	0.790153	0.835660	-0.308803	-0.059010	0.480801	0.183049	0.073288	0.085018	0.350867	-0.439431	-0.112171	-0.166062
0.137609	0.116498	-0.288010	0.036553	-0.186938	0.001831	-0.193141	-0.303292	-0.103925	-0.006874	0.044293	0.129190	-0.002162	0.181637	0.060932	0.105459	0.129746	-0.031766	0.088937	0.034696
-0.417355	-0.397644	-0.222146	0.059466	-0.515437	-0.124888	-0.512466	-0.664351	-0.204636	-0.443217	-0.323495	-0.170339	-0.293326	-0.287513	-0.458643	-0.234008	-0.517390	-0.197569	-0.363994	-0.206621
0.257733	0.216179	-0.170277	-0.141365	-0.172228	-0.073173	-0.104217	-0.244387	0.297744	0.082992	-0.236417	-0.183009	0.068159	-0.198877	-0.328407	-0.121294	-0.355848	-0.205648	-0.247494	-0.103086
1.174246	1.095524	0.345167	0.309217	0.678099	0.410899	0.561630	0.483334	0.481228	0.755027	0.545196	0.348792	0.587106	0.475641	0.512510	0.470667	0.448866	0.257661	0.614605	0.522427
1.074254	1.159584	0.691713	1.154639	0.716604	0.783292	0.562802	0.434515	0.157639	0.667901	1.120089	0.913947	0.596470	0.820668	0.862065	0.767922	0.668664	0.600915	1.130445	1.085967
0.465093	0.873788	0.205582	1.397960	-0.359872	0.631697	-0.043240	-0.292840	-0.036322	0.266547	1.003041	1.108586	0.251793	0.541991	0.231041	0.490826	0.075256	0.300128	0.742675	1.196556
0.620020	1.220478	-0.787700	0.613761	-1.254648	0.171244	-0.366675	-0.598555	0.129235	0.479417	0.616272	0.972635	0.155921	0.351188	-0.396885	0.210762	-0.203320	-0.302504	0.110665	0.964744
1.176441	1.635772	-1.312093	-0.580790	-0.924327	-0.300874	-0.063077	-0.142959	0.199563	0.966165	0.291175	0.572970	0.342768	0.664575	-0.186186	0.217876	0.406394	-0.566639	-0.164116	0.438016
0.584690	0.664331	-0.750403	-1.244653	0.174753	-0.733909	0.259944	0.212850	-0.007502	0.497744	-0.138635	-0.064063	0.253445	0.882747	0.305253	-0.015966	0.946341	-0.436456	-0.344151	-0.486943
-1.173053	-1.483498	0.568781	-1.030241	0.983990	-0.984322	0.046252	-0.189487	-0.104008	-1.017715	-0.652247	-0.670760	-0.371718	0.402848	0.119252	-0.807852	0.433178	-0.306129	-0.731532	-1.484317
-2.142299	-2.682235	1.594232	-0.394206	1.021707	-0.788808	-0.487132	-0.894335	0.089341	-2.068617	-0.805931	-0.926878	-1.044902	-0.294595	-0.674699	-1.497061	-0.643792	-0.329422	-0.962646	-1.825100
-1.098380	-1.611541	1.416381	-0.050635	0.370113	-0.276983	-0.818461	-1.100653	0.228904	-1.420959	-0.407497	-0.871367	-1.069409	-0.253190	-1.261164	-1.322263	-1.080809	-0.311663	-0.657569	-1.253735
0.761553	0.534722	0.116825	-0.252259	-0.700141	0.008680	-0.794249	-0.687895	0.085073	0.344093	0.136895	-0.724191	-0.331675	0.481229	-1.283841	-0.517118	-0.597236	-0.124290	-0.147957	-0.341481
1.572339	1.722306	-1.232849	-0.536442	-1.644900	-0.117572	-0.566093	-0.127762	-0.117109	1.633465	0.372046	-0.433574	0.527258	0.769217	-1.008166	0.124366	0.026089	0.139394	0.029176	0.301665
1.197377	1.514815	-1.515500	-0.157630	-1.708231	-0.089255	-0.211340	0.220937	-0.195442	1.656613	0.331236	0.163716	0.717893	-0.021997	-0.525486	0.407734	0.116892	0.361343	-0.010179	0.724098
0.925648	1.009060	-0.553137	1.118544	-0.603996	0.661070	0.272125	0.390959	-0.334107	0.930920	0.351275	0.842141	0.125659	-1.030109	0.392149	0.776836	-0.220535	0.513357	0.282422	1.230559
1.406232	0.991780	0.781981	2.548385	0.982512	1.769669	0.764917	0.576461	-0.634127	0.310659	0.595335	1.137884	-0.482256	-1.071754	1.565711	1.382698	-0.473020	0.620174	0.985224	1.691056
1.917853	1.140494	1.369680	2.870735	1.918334	2.206951	1.068496	0.862745	-0.737626	0.099105	0.890689	0.970175	-0.234772	-0.329357	2.241300	1.795027	-0.266038	0.752010	1.540642	1.685208
1.555945	0.848196	0.852884	1.525640	1.706161	1.508505	1.095354	1.119703	-0.268176	0.081861	0.880823	0.616639	0.798838	-0.079326	1.960116	1.660706	0.388855	0.970229	1.483894	1.117563
