X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
-0.318897	-0.193083	-0.192500	-0.074950	-0.397910	-0.234929	-0.298673	-0.333009	-0.312460	-0.647716	-0.609227	-0.369508	-0.040666	-0.031364	-0.196772	-0.160782	-0.748944	-0.497894	-0.267093	-0.330009
-0.634826	-0.927451	-0.118791	-0.180322	-0.714047	-0.123736	0.475961	0.455482	0.304816	-0.277909	-0.569062	0.676759	-0.330104	-0.264076	-0.068719	0.316686	-0.547561	-0.199170	0.088537	0.439933
-0.800050	-1.116156	0.054860	-0.258216	-0.375348	-0.103476	0.279327	0.254802	0.242152	-0.330605	-0.167398	0.708989	-0.462721	-0.482265	-0.170216	0.136410	-0.152677	-0.128374	0.131151	0.523834
-0.510024	-0.458600	0.281940	-0.067824	0.350674	-0.047714	-0.482321	-0.370456	-0.113864	-0.195156	0.291388	-0.003301	-0.196210	-0.430015	-0.454706	-0.534052	0.236551	-0.080960	-0.069793	0.196170
0.354966	0.765624	0.494043	0.468671	0.709560	0.119734	-0.619882	-0.212307	0.102713	0.783580	0.292195	-0.409619	0.503221	0.156755	-0.480974	-0.835247	0.313544	0.224352	-0.140202	0.230700
1.238711	1.623400	0.678523	0.874271	0.484574	0.204974	0.126789	0.705018	0.825364	1.777239	-0.068872	-0.163971	1.098452	0.949041	0.100500	-0.283930	0.129911	0.544648	0.115773	0.687422
1.195711	1.208361	0.696793	0.559082	0.085175	0.080826	0.722749	1.175992	1.000051	1.240204	-0.230256	0.066703	0.811125	0.999057	0.842429	0.494488	-0.019654	0.324355	0.423400	0.763445
0.024068	-0.295053	0.290698	-0.329619	-0.176001	-0.021817	0.341373	0.561660	0.128488	-0.693745	0.000958	-0.215835	-0.382339	-0.142894	0.816876	0.500202	-0.033444	-0.438667	0.370602	-0.003101
-1.187782	-1.511198	-0.456723	-0.914474	-0.328029	0.111586	-0.434805	-0.373062	-0.854284	-1.921495	0.255509	-0.566921	-1.387191	-1.461611	-0.082759	-0.243162	-0.030135	-0.975305	-0.025986	-0.919277
-1.201316	-1.308175	-0.901845	-0.634200	-0.345872	0.250483	-0.479249	-0.532339	-0.799113	-1.120202	0.208727	-0.388320	-1.148112	-1.444221	-0.769730	-0.655700	-0.057784	-0.707159	-0.320442	-0.984083
