X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
-0.232560	-0.173804	-0.254167	0.146838	-0.066859	0.053622	-0.127936	0.136720	-0.156419	-0.263299	-0.131979	0.075191	-0.085616	-0.381582	0.014201	-0.222013	-0.057866	-0.055848	-0.043684	-0.074109
-0.495440	-0.336884	1.064584	0.650802	0.346141	0.360245	0.168230	0.465398	-0.374120	-0.486876	0.799040	0.600520	-0.276886	-1.345560	-0.805414	0.109693	0.588915	0.485062	-0.501420	-0.046657
-0.770420	-0.798616	0.583901	0.300009	0.192591	0.182910	0.176237	0.099660	-0.640036	-0.743940	0.877812	0.546334	-0.604981	-1.410541	-0.869081	0.298981	0.803003	0.817070	-0.708739	-0.442092
-1.097409	-1.226163	-1.111798	-0.448201	-0.375967	-0.273518	0.137214	-0.372127	-0.649922	-0.862606	0.140724	0.048831	-0.999793	-0.680149	-0.249121	0.135614	0.428720	0.698845	-0.683276	-0.916408
-1.171923	-0.917553	-1.954682	-0.595027	-0.866469	-0.589375	0.187114	-0.228587	-0.197899	-0.531040	-0.635842	-0.359896	-1.153345	-0.008250	0.364480	-0.327589	-0.263964	0.085512	-0.521506	-0.841731
-0.458468	0.238905	-1.127225	-0.080945	-1.066321	-0.728739	-0.151885	-0.023338	0.323024	0.240523	-0.844852	-0.497795	-0.781385	0.102757	0.452943	-0.640481	-0.785867	-0.684588	-0.132773	-0.252581
0.841405	1.299520	0.179086	0.356785	-0.862223	-0.630626	-1.006507	-0.469528	0.358270	0.782966	-0.590201	-0.573934	-0.010048	0.021556	-0.021106	-0.500625	-0.915961	-1.166885	0.575336	0.256496
1.544604	1.161505	0.635001	0.413563	-0.001671	0.139523	-1.285834	-0.762741	-0.009532	0.376049	-0.328405	-0.639038	0.624225	0.375035	-0.765131	-0.179674	-0.868115	-1.215235	1.323573	0.448575
0.951401	-0.021586	0.353428	0.398687	1.318409	1.520097	0.030498	0.291610	-0.137733	-0.620566	-0.202268	-0.416503	0.757143	1.191789	-1.201925	-0.041966	-0.837343	-0.897952	1.549838	0.614925
0.004324	-0.861538	0.212763	0.332011	2.083724	2.276991	2.011962	1.937011	0.288269	-0.866269	0.049139	0.209834	0.651054	1.837164	-0.716467	0.039073	-0.639439	-0.240231	0.978390	0.761372
0.028865	-0.490132	0.384650	-0.203225	1.514022	1.297803	2.523389	2.110472	0.778553	0.229065	0.545136	0.807514	0.786845	1.738769	0.561881	0.315832	-0.080030	0.568819	-0.008811	0.390479
0.769950	0.320300	0.307776	-1.124904	0.274549	-0.636338	0.981525	0.451074	0.611212	1.463379	0.922201	0.780159	1.121541	1.042254	1.501266	0.549745	0.591702	0.997890	-0.711826	-0.493392
0.867587	0.378574	-0.181948	-1.592572	-0.217385	-1.540049	-0.887536	-1.107429	-0.244026	1.297578	0.759908	0.118008	1.124409	0.431040	1.126600	0.340148	0.942760	0.746199	-0.850317	-0.904939
0.065127	-0.165377	-0.549841	-1.098095	0.293500	-0.781060	-1.438735	-1.131613	-0.959475	-0.062367	0.206315	-0.502650	0.550132	0.288000	-0.135058	-0.137024	0.858567	0.285222	-0.786347	-0.136917
-0.395032	-0.165038	-0.478807	-0.194798	0.529018	0.191106	-1.065095	-0.455437	-0.682787	-0.932335	-0.106204	-0.491943	-0.161653	0.271767	-0.935339	-0.267366	0.529978	0.260837	-0.818132	1.070121
0.236107	0.699812	-0.346194	0.330731	-0.469301	0.027014	-1.030670	-0.437192	0.526585	-0.345687	0.177623	-0.045536	-0.408151	-0.091767	-0.621377	0.183764	0.134828	0.504346	-0.527213	1.453001
1.030608	1.380940	-0.476295	0.483160	-1.813903	-0.686593	-1.332031	-0.815205	1.702437	0.862513	0.631703	0.091079	-0.182122	-0.692316	0.103339	0.762002	-0.313339	0.233106	0.554315	0.833543
0.745892	0.869632	-0.544173	0.710515	-1.778158	-0.492686	-0.892843	-0.408319	1.918344	1.275579	0.494773	-0.507515	-0.045936	-1.059439	0.139329	0.852161	-0.896354	-0.735401	1.716828	-0.052992
-0.447686	-0.486410	-0.205818	0.983119	-0.126451	0.749160	0.442651	0.806965	1.139245	0.564315	-0.325982	-1.421057	-0.267805	-1.032602	-0.669706	0.372016	-1.491218	-1.468275	1.500544	-0.799532
-1.294389	-1.388100	0.172242	0.896539	1.337829	1.665054	1.326287	1.508006	0.118092	-0.361803	-0.898089	-1.714477	-0.356551	-0.793875	-1.294432	-0.081340	-1.511588	-0.889952	-0.278624	-1.410709
-1.096228	-1.062804	0.059198	0.462113	0.953988	1.203182	0.726001	0.847117	-0.435087	-0.556697	-0.246420	-0.810500	0.102425	-0.499711	-0.717408	0.153515	-0.408878	0.869278	-1.887864	-1.588529
-0.377645	-0.060220	-0.258522	0.138564	-0.596259	-0.080608	-0.491149	-0.413214	-0.484193	-0.047667	1.266473	0.824539	0.506903	-0.302996	0.683883	0.975934	1.322032	2.369233	-1.737551	-0.985077
-0.008840	0.460290	-0.020398	0.125852	-1.121708	-0.810102	-0.645001	-0.917044	-0.494672	0.370947	1.963726	1.861392	-0.025271	-0.418555	1.406962	1.485841	2.222181	2.283121	-0.326263	0.011468
-0.206930	0.052714	0.688075	0.170265	0.132137	-0.430224	0.462764	-0.327924	-0.728086	0.143747	0.652147	1.275090	-1.090006	-0.691385	0.714848	0.955540	1.456188	0.839331	0.650388	0.585124
