X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
-0.040073	0.152933	-0.250269	-0.254380	-0.174285	-0.373230	-0.038615	-0.102087	0.066579	0.168566	-0.189164	0.003710	-0.119852	0.109816	-0.359389	-0.417051	-0.322750	-0.195083	0.042211	0.115753
1.498978	0.853674	1.785711	1.743140	0.810815	1.895085	1.106381	2.553191	2.489922	2.040506	0.790896	-1.374895	0.598741	0.868086	0.866800	1.355631	2.149430	1.104603	0.791864	0.547104
1.778360	1.177192	1.965639	1.117126	0.830905	2.018669	1.162277	2.800263	2.428800	2.076790	1.196538	-1.630262	0.787058	0.821344	0.525833	1.489555	2.517699	1.395369	0.573025	0.426110
1.056001	1.001573	0.545101	-1.197064	0.028668	0.482310	0.109383	0.823619	0.111795	0.335497	1.033595	-0.754945	0.637131	0.180740	-0.754774	0.447594	1.002993	0.772427	-0.401273	-0.037607
0.644951	0.597591	-0.611559	-2.084528	-0.574173	-0.465826	-0.986461	-0.978957	-1.842316	-1.318019	0.841181	0.310552	0.746458	-0.136402	-1.104650	-0.060766	-0.383576	0.160569	-0.993135	-0.193937
1.146249	0.403597	-0.420680	-0.502462	-0.354208	0.171550	-1.103040	-0.817548	-1.425052	-1.269071	0.965417	0.753398	1.192360	0.284852	-0.034503	0.501691	-0.385940	0.129204	-0.493929	0.188681
1.761189	0.514179	0.294604	1.342372	0.237559	1.127260	-0.332612	0.636518	0.555971	0.033400	1.047832	0.551405	1.309440	0.860948	1.044858	1.039052	0.271091	0.376007	0.546411	0.722857
1.506609	0.493307	0.291807	1.204113	0.460510	0.912974	0.356936	1.434310	1.635741	0.669744	0.553943	0.197178	0.555917	0.847961	0.893722	0.675612	0.300101	0.370866	0.947733	0.906928
0.546332	-0.116264	-0.267252	-0.340405	0.338174	-0.234977	0.300433	0.765623	0.685879	-0.369081	-0.342122	0.052490	-0.627863	0.321839	-0.041339	-0.066520	-0.336150	0.071389	0.243785	0.533682
-0.136102	-1.140792	-0.245588	-1.041206	0.446822	-0.980578	-0.260960	-0.455190	-0.967061	-1.944083	-0.893356	0.035315	-1.154681	-0.008705	-0.531967	-0.272484	-0.642683	-0.213654	-0.771079	-0.220514
-0.050216	-1.807539	0.603322	0.005444	0.853958	-0.674720	-0.710312	-1.080500	-1.412424	-2.207212	-0.766826	-0.157637	-0.516577	0.217232	-0.167056	0.092109	-0.137683	-0.345885	-0.946155	-0.801789
0.375472	-1.467330	1.181117	1.567890	0.896567	0.209055	-0.770415	-0.941265	-0.369682	-0.797816	-0.365863	-0.586306	0.598066	0.623006	0.494759	0.460550	0.638770	-0.400637	-0.157429	-0.615477
0.567758	-0.234846	0.620402	2.121744	0.141909	0.962832	-0.556806	-0.494598	0.855736	0.918964	-0.114851	-0.916075	1.101624	0.687932	0.832485	0.571072	1.078309	-0.360336	0.480358	0.221845
0.459919	1.065885	-0.461368	1.464966	-0.940344	1.186591	-0.276010	-0.055227	1.095395	1.533066	0.031998	-0.848948	0.738704	0.363213	0.626134	0.472955	1.208409	-0.142474	-0.054349	0.674778
0.261644	1.541183	-0.791953	0.415057	-1.537169	0.651166	-0.128505	0.224733	0.392636	0.890894	0.197613	-0.612539	0.189117	-0.081394	-0.075955	0.063630	1.251880	0.108075	-1.392641	-0.124167
0.010193	0.878338	-0.129130	-0.332380	-1.361690	-0.563244	-0.272054	0.143411	-0.468812	-0.241717	0.203017	-0.715778	-0.030325	-0.561023	-0.948409	-0.706214	1.082629	0.125757	-2.152765	-1.614493
-0.341227	-0.439242	0.481885	-0.675293	-0.709608	-1.708385	-0.584523	-0.275561	-0.869368	-1.143875	-0.086429	-1.125884	-0.256720	-1.147491	-1.349302	-1.356465	0.498295	-0.016166	-1.497125	-2.173362
-0.563208	-1.414524	0.093890	-0.862042	-0.017812	-1.860409	-0.607620	-0.562830	-0.590377	-1.447405	-0.345584	-1.009367	-0.915864	-1.546624	-0.850538	-1.253685	-0.303256	0.096808	0.083020	-0.926423
-0.258886	-1.192055	-1.013315	-1.167567	0.302931	-1.041194	-0.029684	-0.302975	0.320584	-0.986488	-0.104786	0.355429	-1.493902	-1.077598	0.109188	-0.507275	-0.892722	0.584459	1.498769	1.166711
0.532113	0.197289	-1.806537	-1.623451	-0.053587	-0.280166	0.830847	0.269729	1.381077	0.043073	0.569742	2.436206	-1.033421	0.442727	0.539161	0.038313	-1.106138	0.909301	2.098104	2.306715
1.107057	1.670563	-1.769511	-1.821847	-0.926124	-0.250282	1.274737	0.521408	1.643121	0.898995	0.969575	3.561657	0.342756	2.022181	-0.003251	-0.131010	-1.112351	0.441573	1.827054	1.741629
0.824160	2.037930	-1.357073	-1.231326	-1.626978	-0.451917	0.938363	0.169033	0.602022	0.882726	0.437705	2.494498	1.215663	2.250916	-1.003179	-0.605227	-1.105172	-0.723154	0.854316	0.365412
-0.013811	1.307670	-1.281310	-0.002747	-1.684999	-0.234553	0.099738	-0.514625	-0.773921	0.256851	-0.847841	-0.087973	0.600812	0.900760	-1.768337	-0.771155	-1.155791	-1.774387	-0.463390	-0.474957
-0.411770	0.689837	-1.621384	0.863998	-1.421771	0.052037	-0.648136	-1.112687	-0.752826	0.058183	-1.854409	-1.964234	-0.687097	-0.616502	-2.089097	-0.648460	-1.250864	-1.971769	-1.361315	-0.354819
0.068393	1.030741	-1.709049	0.672557	-1.290666	-0.196831	-0.856984	-1.329408	0.939534	0.714621	-1.594229	-1.499123	-1.037314	-0.764660	-1.861645	-0.559438	-1.240083	-1.211100	-0.998235	0.195377
0.700735	1.670370	-0.870125	0.102798	-0.934017	-0.447083	-0.470289	-0.963819	2.293916	1.318154	-0.166801	0.643547	-0.106655	0.302520	-0.711445	-0.355562	-0.880686	0.051960	0.596133	0.606941
