X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55
-0.178221	-0.228493	0.033406	-0.135966	-0.260671	-0.192741	-0.206887	-0.152839	-0.144757	-0.220247	-0.283482	-0.378841	-0.245982	-0.162744	-0.250292	-0.397558	-0.192882	-0.121091	-0.057412	-0.176671	-0.195175	-0.138323	-0.372927	-0.204661	-0.024966	-0.171638	0.012917	-0.160553	-0.166976	-0.062990	-0.252027	-0.197053	-0.094334	-0.219857	-0.270897	-0.267346	-0.170619	-0.239000	-0.256812	-0.293414	-0.192748	-0.258983	-0.217238	-0.173147	-0.090963	-0.175139	-0.219911	-0.222936	-0.075926	0.011749	-0.119807	-0.054772	-0.181040	-0.158004	-0.030131
-0.873085	0.543227	-0.617886	0.832361	0.805587	0.063367	0.034565	0.855036	-0.068576	1.003870	-0.206062	0.393929	1.333657	-1.447158	-1.410471	1.418241	-0.038362	-0.143067	0.036119	0.641286	0.667953	0.234352	-0.209210	0.483154	-2.590594	0.292925	-3.225990	-0.363216	-0.609529	0.177975	0.699507	-0.230418	-0.920542	1.782754	1.275013	0.593481	-0.014000	-0.029750	-0.861945	0.753083	-0.029454	0.124375	0.615838	-0.438065	-0.255493	0.008922	0.247822	-0.797028	-1.304270	-0.448579	1.222209	0.680798	1.100535	0.648977	-2.188064
-0.709759	1.521746	-0.956896	1.448928	1.454389	0.260361	0.661917	1.548123	0.811988	1.860320	0.454072	1.693164	2.267257	-1.213973	-1.288101	2.594415	0.807135	-0.014302	0.293518	1.284570	1.290682	0.420363	0.288578	1.212590	-3.393866	0.832900	-4.057658	0.569529	0.163621	0.722328	1.648989	0.638866	-0.795446	2.890626	2.490761	1.599262	0.506052	0.502983	-0.434874	1.631848	0.629011	0.983813	1.372790	0.280141	0.194314	0.572876	0.879895	-0.314316	-0.964439	-0.354411	2.192730	1.910634	2.069044	1.481762	-2.611025
-0.030559	2.366125	-0.887564	1.529458	1.352397	0.266773	1.417318	1.750385	2.075229	2.068758	1.281312	2.897254	2.315578	0.316002	-0.222591	2.804872	1.894055	0.213992	0.532745	1.521115	1.526158	0.288988	0.950809	1.627627	-2.672178	1.294283	-2.812767	2.101483	1.755686	1.208506	2.111524	1.885910	-0.124727	2.836054	2.889306	2.177463	1.260436	1.190905	0.590546	2.002597	1.558218	1.916594	1.770638	1.540740	0.876495	1.135551	1.268480	0.833315	0.475500	0.167790	2.494639	3.085112	2.426272	1.987745	-1.381086
0.175036	2.516141	-0.634178	1.121556	0.543357	0.050086	1.685042	1.493865	2.471874	1.584279	1.345673	2.839691	1.666206	1.485140	0.438098	2.253615	2.149168	0.352957	0.429908	1.220146	1.377543	-0.070088	1.301755	1.321269	-1.940566	1.407891	-1.663838	2.644561	2.637879	0.975594	1.583212	2.184551	-0.032785	2.015335	2.257046	1.643260	1.663665	1.537230	0.902589	1.580134	2.036739	2.123579	1.611000	2.008605	0.928869	0.999640	0.895586	1.358443	1.197430	0.441112	2.019888	3.084481	2.018255	1.733338	0.048937
-0.281267	1.899986	-0.564296	0.424943	-0.415543	-0.209808	1.258726	0.959365	1.444755	0.685843	0.492593	1.393049	0.668997	1.090851	0.181196	1.502715	1.283832	0.289026	-0.033629	0.511092	0.928889	-0.354613	1.129920	0.448529	-1.775094	1.066624	-1.587861	1.598736	2.014423	-0.002121	0.342673	1.158956	-0.708514	0.998570	1.075191	0.289895	1.259329	1.283176	0.078196	0.504380	1.663683	1.480260	1.081214	1.176641	0.226474	0.137814	-0.037810	0.766777	0.426886	0.075251	0.985737	1.621511	0.992800	0.798957	0.735765
-0.547869	1.021230	-0.764253	-0.298504	-0.846011	-0.306582	0.549901	0.359340	-0.141739	-0.137498	-0.377391	-0.163028	-0.308252	-0.359084	-0.213657	0.962924	0.148587	0.084911	-0.496470	-0.281609	0.261070	-0.365092	0.687191	-0.320768	-1.304130	0.444625	-1.459885	0.099620	0.685506	-0.912128	-0.644646	-0.161057	-1.172218	0.112671	0.136659	-0.728700	0.268651	0.662665	-0.901902	-0.638291	0.763983	0.645639	0.529900	-0.011034	-0.470007	-0.694476	-0.706250	-0.159036	-0.688300	-0.469068	-0.041847	-0.234767	-0.188003	-0.190724	0.987267
0.044436	0.441642	-0.849012	-0.725055	-0.534192	-0.188895	0.114832	-0.084172	-0.900568	-0.462028	-0.390756	-0.541039	-0.854308	-1.296671	-0.001287	0.643081	-0.287779	-0.079283	-0.550182	-0.785537	-0.437012	-0.212426	0.405539	-0.454706	0.096820	-0.071396	-0.201403	-0.362068	0.016684	-0.958484	-0.687320	-0.617157	-0.717460	-0.503667	-0.207896	-0.657675	-0.514957	0.153205	-0.933413	-1.178126	0.068062	0.253505	0.145026	-0.304372	-0.487583	-0.779807	-0.576917	-0.506915	-0.713836	-0.378320	-0.425415	-1.041613	-0.933835	-0.650224	1.303722
1.085818	0.400468	-0.420162	-0.568437	0.134583	0.095785	0.194247	-0.122477	-0.316490	-0.196059	0.337562	0.184407	-0.683889	-0.738622	0.529938	0.448072	0.123360	-0.035199	-0.087642	-0.696997	-0.754438	-0.095276	0.538263	0.024436	1.569582	-0.092454	1.396913	0.443563	0.453340	-0.218185	0.026808	-0.094586	0.153418	-0.651605	-0.166437	0.128612	-0.424034	0.098955	-0.042519	-0.787938	0.118399	0.395989	0.042723	0.508187	0.103673	-0.088164	0.097262	-0.211125	0.258677	0.426221	0.017561	-0.350186	-0.851877	-0.468263	1.412087
1.664699	0.804388	0.325695	0.118872	0.606721	0.463454	0.648989	0.360800	0.878287	0.341537	1.008325	0.891888	-0.000857	0.825292	0.703821	0.472072	0.845071	0.239491	0.586014	0.006078	-0.368938	0.001161	0.980328	0.705685	1.788552	0.449762	1.743612	1.503004	1.267684	0.516388	0.811258	0.703182	0.575998	-0.141875	0.011465	0.740886	0.489550	0.515928	0.851186	0.283691	0.862541	0.793922	0.366877	1.558229	0.799260	0.834749	0.711620	0.291412	0.930267	1.039713	0.756265	0.940002	-0.056321	0.103297	0.834154
1.477204	1.316027	0.753863	0.826440	0.674520	0.741994	1.125548	1.124048	1.551077	0.666845	1.114553	0.849815	0.547761	2.026477	0.522166	0.781535	1.335334	0.586642	0.946571	0.878754	0.422425	0.208161	1.303273	1.123746	0.715509	1.159074	0.679555	1.840337	1.556909	0.650903	1.176755	1.140657	0.557370	0.856389	0.335053	0.737728	1.531816	1.114957	1.045982	1.313465	1.676482	1.096354	0.989127	1.913134	1.207355	1.381029	0.915846	0.755793	0.569287	0.702208	1.044711	1.526635	0.845596	0.740306	-0.062842
0.977235	1.501906	0.565873	0.984225	0.571019	0.740271	1.286183	1.678626	1.234037	0.584673	0.835694	0.441179	0.529776	1.925173	0.504184	1.095575	1.398456	0.824309	0.693858	1.260904	0.774790	0.453019	1.039294	0.939027	-0.361933	1.508930	-0.342874	1.381705	1.161399	0.357713	1.032565	0.982918	0.782759	1.735941	0.847458	0.282259	1.973850	1.487072	0.612890	1.560223	1.873330	1.038087	1.357551	1.407019	1.179573	1.297695	0.683511	1.037184	-0.180813	-0.118563	0.756671	0.965239	1.246066	1.155782	-0.306117
0.571820	1.123703	0.087184	0.497683	0.614424	0.457993	1.045050	1.717904	0.411228	0.382501	0.575949	0.438413	0.211779	0.738423	0.706770	0.998653	1.095904	0.947504	0.091142	0.882427	0.161074	0.482740	0.120340	0.081768	-0.463254	1.350488	-0.251607	0.627382	0.532472	0.206171	0.479080	0.202810	1.395785	1.877518	1.351443	-0.326885	1.576223	1.345354	0.037202	0.807451	1.304877	0.595499	1.010033	0.569156	0.702204	0.770316	0.067207	0.774272	-0.334692	-0.284935	0.479014	-0.045873	1.071019	1.124177	0.396660
0.145683	0.330495	-0.241573	-0.210188	0.846841	0.110454	0.630135	1.322390	-0.097676	0.467946	0.415048	0.902279	0.167473	-0.564391	0.551004	0.461892	0.586426	1.098592	-0.243467	0.116114	-0.950362	0.284110	-0.907959	-1.081048	0.047724	0.971398	0.364938	-0.109801	-0.028523	0.398515	-0.291748	-1.003624	1.604590	1.158167	1.478219	-0.886618	0.629384	0.683752	-0.313062	-0.445176	0.422949	0.025546	0.133323	-0.048591	-0.114361	0.141827	-0.820085	-0.158882	0.126035	0.486887	0.646345	-0.566946	0.715506	0.587675	1.199021
-0.459312	-0.486149	-0.312236	-0.640913	1.058445	-0.104466	0.351980	0.727353	0.047006	0.857770	0.135529	1.097084	0.515025	-1.217918	-0.283095	-0.085270	0.075906	1.325356	0.024481	-0.447834	-1.514064	0.255848	-1.247863	-1.820631	0.247831	0.669791	0.331066	-0.867228	-0.655838	0.570054	-0.936738	-2.008991	0.713265	0.026166	1.014571	-1.125675	-0.359978	-0.210845	-0.308627	-1.318940	-0.242104	-0.377673	-0.642936	-0.356028	-0.985751	-0.431812	-1.616557	-1.040158	0.376831	1.258454	0.893730	-0.367089	0.476648	-0.229983	1.162086
