X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55
0.004350	-0.161518	-0.003214	0.042043	0.072930	-0.042799	-0.034502	-0.099128	-0.121641	0.139344	-0.031708	0.114161	-0.065137	0.056751	0.274151	-0.101255	-0.054419	-0.083163	-0.159492	0.091392	-0.017476	-0.006425	-0.007113	0.044542	0.011043	-0.217344	0.009815	-0.079773	-0.209581	0.011812	-0.048619	0.161137	-0.097042	-0.173238	-0.024775	0.011426	-0.050528	-0.125971	-0.040241	0.097837	-0.368456	-0.202155	-0.035505	0.040763	-0.060819	-0.306407	0.091964	0.036536	-0.019174	-0.086676	-0.150786	0.008775	-0.127627	-0.015451	-0.338437
-0.157981	-0.956920	0.118937	-0.006730	-1.024940	-0.087622	0.971100	-0.871631	-0.621943	-0.032649	-1.519313	-0.960114	-0.105154	-0.740840	-1.724664	-0.012350	0.730100	0.763775	1.140064	1.479104	-0.316167	0.580222	1.742813	2.401548	-0.806625	0.507223	-0.822990	-1.009981	-0.618631	1.406250	1.764315	2.597115	-0.165514	-2.127650	-0.692746	1.708204	1.333358	-1.249083	0.695596	2.404342	0.615165	-0.333945	0.676598	-1.152471	-0.765099	-1.055640	2.536884	1.817943	-0.346838	-0.878440	-0.466369	0.120488	-1.089952	-2.191871	-1.619471
0.189041	-0.912098	-0.448899	-0.300994	-0.932474	0.047480	0.825605	-0.702714	-0.063754	0.034879	-1.660863	-0.872739	0.347412	-0.626109	-1.788195	-0.129672	0.642505	0.817180	1.288368	1.677807	-0.178446	0.529561	1.952954	2.659853	-0.748830	0.391141	-1.150728	-0.854515	-0.414605	1.765471	2.126733	2.687560	-0.028613	-1.738704	-0.834603	2.109877	1.383929	-0.957337	0.632973	2.387272	1.039151	0.004715	0.715200	-1.238508	-1.037171	-1.121853	2.946705	1.943864	0.220271	-0.968510	-0.174482	0.684114	-0.690643	-2.137779	-1.278552
0.744176	-0.129976	-1.325947	-0.638688	-0.019735	0.161810	-0.140687	0.451972	1.210696	0.334871	-0.632557	0.098617	1.051060	0.266950	-0.087505	-0.238468	0.043117	0.236836	0.499862	0.674564	0.281761	0.161894	0.734716	0.909372	0.065961	-0.255872	-0.786871	0.078811	0.204823	0.973384	0.980812	0.856391	0.309544	0.472156	-0.497812	1.185916	0.365414	0.446357	-0.169948	0.187366	0.718389	0.605668	0.132203	-0.184031	-0.860688	-0.363971	1.290841	0.439296	1.332236	-0.335115	0.603461	1.435707	0.619971	0.016197	0.302589
0.807978	0.627291	-1.409527	-0.501811	0.514534	0.158072	-0.536402	1.727115	1.940001	0.753934	0.349939	0.817921	1.362458	1.067313	1.519266	0.021685	-0.010721	-0.141764	0.028027	-0.322009	0.600340	0.217855	-0.430422	-0.820290	0.708108	-0.350094	-0.027541	0.687015	0.621456	-0.137340	-0.404701	-0.525119	0.715684	1.994405	-0.090840	0.098493	-0.414110	1.511507	-0.733413	-1.759040	0.059439	1.016320	-0.255129	1.112021	-0.357096	0.745926	-0.623309	-1.164593	1.862091	0.465164	1.253203	1.681407	1.302799	2.099563	1.389536
0.300812	0.949203	-0.317211	0.276472	0.415421	0.413928	0.254537	2.197823	1.582097	1.285663	0.657760	0.887870	1.108820	1.291990	1.667053	0.523081	0.680113	0.069144	0.523239	-0.193722	0.613330	0.646046	-0.499220	-0.870246	0.590528	0.463064	0.582008	0.680515	0.704817	-0.642609	-0.810552	-0.290642	1.146039	1.587879	0.234449	-0.103627	-0.354316	1.516060	-0.172446	-1.450662	-0.174308	1.221709	0.256659	1.875526	0.499181	1.493369	-1.164673	-1.568456	1.344236	0.925475	1.459419	1.164546	0.857294	2.369938	1.197057
-0.053882	1.109122	0.909059	1.099190	0.478033	1.096568	1.203446	1.733219	0.874084	1.886989	0.720143	0.919354	0.749165	1.244690	0.672464	0.630888	1.114260	0.313847	1.193982	0.760698	0.651998	0.566962	0.059839	0.346448	0.163427	1.229387	0.756620	0.837767	0.869145	-0.324450	-0.187187	0.343288	1.655137	0.500219	0.641261	0.441118	-0.055300	1.051484	1.160181	0.412005	0.476082	1.437520	1.342834	2.069191	1.497943	1.402819	-0.412314	-0.961701	0.425769	0.939696	1.450722	0.361003	0.314493	1.177487	0.644352
0.397130	1.386780	0.916382	1.134814	1.047921	1.525669	0.976199	1.015159	0.678529	2.232041	0.951668	1.319015	0.696347	1.319211	-0.318494	0.003704	0.489633	-0.132809	0.920485	1.198501	1.020785	-0.463063	0.187370	1.091954	0.248808	0.985855	0.674995	1.662697	1.313539	0.390407	0.622580	-0.059371	2.149709	0.309429	1.058883	0.776536	-0.142825	0.862339	1.903434	1.397632	1.652890	1.559856	1.932801	1.944168	1.911339	0.560697	0.357798	-0.445621	-0.053977	0.657340	1.470797	-0.101780	0.568046	0.105835	0.730207
1.399148	1.476515	-0.295545	0.322124	1.398227	0.936768	-0.228898	0.707162	0.826444	1.884928	0.939500	1.565493	0.832226	1.317004	-0.708256	-0.800034	-0.617661	-1.102515	-0.175653	0.490796	1.474764	-1.617417	-0.226214	0.459249	0.881047	0.150555	0.615514	2.468517	1.626729	1.018521	0.981283	-0.985738	2.228369	0.730735	1.016942	0.425900	-0.293269	0.873303	1.258068	0.462320	2.402749	1.263085	1.433656	1.404188	1.172449	-0.392070	0.344510	-0.506467	0.031354	0.278752	1.322970	-0.121915	1.095612	-0.035173	1.122537
1.959868	0.919312	-1.299604	-0.414253	0.869554	-0.305447	-0.863429	0.685751	0.527213	0.802677	0.095298	1.002064	0.818650	0.716763	-0.714503	-0.830879	-0.959562	-1.557428	-0.880841	-0.429116	1.447030	-1.566713	-0.294097	-0.659516	1.219537	-0.082552	0.568412	2.180673	1.317788	1.323493	0.997627	-0.881287	1.456311	0.396970	0.336299	-0.051053	0.221315	0.633045	-0.013875	-0.784038	2.032491	0.490031	0.315848	0.225239	-0.240213	-0.694491	-0.015118	-0.490407	0.240766	0.025553	0.663170	-0.119952	0.872930	0.142345	0.959259
