column	label_id	roi_name
X1	1	vmPFC_mOFC_L
X2	2	vmPFC_mOFC_R
X3	3	dlPFC_L
X4	4	dlPFC_R
X5	5	vlPFC_L
X6	6	vlPFC_R
X7	7	Anterior_Insula_L
X8	8	Anterior_Insula_R
X9	9	sgACC_L
X10	10	sgACC_R
X11	11	Amygdala_L
X12	12	Amygdala_R
X13	13	NAcc_L
X14	14	NAcc_R
X15	15	Caudate_L
X16	16	Caudate_R
X17	17	Putamen_L
X18	18	Putamen_R
X19	19	Thalamus_L
X20	20	Thalamus_R
