X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110
-0.122855	-0.012454	-0.032212	-0.078905	0.004304	0.018295	-0.056701	-0.032698	-0.073340	-0.085631	-0.060673	0.010062	0.077757	0.152060	-0.058875	-0.080087	0.011247	-0.022252	-0.075287	-0.051699	-0.029829	-0.018521	-0.121520	-0.161592	-0.041863	-0.061376	-0.021919	0.020606	0.121276	-0.138067	-0.047614	-0.000746	0.029099	0.054640	-0.009379	0.061578	-0.044096	-0.030334	-0.111079	0.005708	-0.148579	0.008562	-0.092881	-0.028697	-0.029591	0.000254	-0.016332	-0.033018	-0.079856	-0.084029	0.212339	0.139573	-0.066372	-0.083436	-0.091209	-0.053904	0.025234	0.001424	-0.065856	0.065935	-0.080883	-0.057311	-0.067563	-0.072775	0.032715	0.078501	0.038184	-0.041514	-0.029536	-0.100836	0.028285	0.048280	0.030652	0.104319	-0.026085	-0.091352	0.027695	0.109910	-0.044036	0.063863	-0.094171	-0.025265	-0.024865	0.131648	0.020043	0.093556	-0.001423	0.013267	0.054900	0.147952	0.012924	0.105492	-0.035207	-0.122418	0.039590	-0.047673	0.014476	-0.045588	0.039567	-0.012654	-0.093056	-0.072044	-0.181572	0.144585	-0.145697	0.153457	0.154432	-0.061704	-0.055473	-0.125430
0.083431	0.316620	0.817097	1.089458	-0.072842	-0.279333	-0.269800	0.292072	0.491284	0.795126	0.569226	0.594185	1.120836	1.364518	0.324492	0.838390	0.827419	0.061547	0.718516	0.936110	0.701913	-0.800745	0.776107	1.336460	0.637821	1.215048	-0.128220	1.126788	0.667874	0.771552	0.611199	1.024395	1.532826	1.886268	1.304333	-0.652882	0.692945	0.964424	-0.105918	1.141662	0.514012	0.556843	0.305126	-0.551392	0.264551	0.957149	-0.101008	0.528388	0.457776	0.529265	-0.332897	0.862877	1.003683	-0.789099	1.182321	1.417905	1.680568	1.230016	0.951741	0.874119	1.249164	1.102864	0.045002	-0.035511	0.376116	-0.132850	0.742468	-0.067446	0.517643	1.388975	0.227557	-0.237083	1.467807	0.441681	0.802161	0.384120	0.431724	-0.076861	0.855096	0.555578	0.340948	1.074640	1.428536	0.752246	0.592226	0.612516	1.311216	0.967614	0.386972	1.464938	0.478369	0.758224	0.314206	0.337587	0.189508	0.955906	1.464577	0.285900	1.435916	1.032097	0.090806	0.290087	0.104757	0.869223	1.130415	1.346821	1.292019	-0.226150	-0.015636	1.106393
0.870549	1.182730	1.056893	1.750452	0.840631	0.388632	0.570341	0.766473	1.035243	1.796031	1.334018	1.422864	1.339646	1.407446	0.743822	1.343377	0.387705	0.078824	0.791443	1.146064	0.904814	-0.551702	1.175449	1.911101	1.451571	1.783543	0.423388	1.976961	1.204757	0.984435	1.515454	1.385309	1.782841	1.859296	1.474036	-0.466555	1.415325	1.627823	0.707725	1.559960	1.104318	0.955189	0.861230	-0.452822	0.762978	1.455051	0.333558	1.270008	0.485772	0.891016	-0.437299	0.932085	1.507940	-0.725660	1.918159	2.113770	2.207062	1.834176	0.966751	0.809784	1.940778	1.394542	0.338494	0.225847	1.007667	0.340739	0.964605	0.582001	0.808539	1.675419	0.618906	-0.288340	2.227844	1.085651	1.641499	1.062733	1.192537	0.310141	1.782321	1.261269	0.596806	1.323761	1.886950	0.886104	1.027915	0.763610	1.943668	1.378418	0.171923	1.192952	0.723548	0.534828	0.883854	1.200359	0.622517	1.925727	2.208624	1.331014	2.053447	1.614875	0.697278	0.931219	0.117106	1.353204	2.250432	1.790233	1.799091	0.284539	0.750051	1.540261
2.045927	2.256349	0.827543	1.801909	2.216845	1.597370	2.086463	1.245180	1.347640	2.467046	1.941137	2.210669	0.854982	0.410185	1.201737	1.386548	-0.688865	0.221803	0.460082	0.762998	0.733773	0.508278	0.904618	1.371121	1.890367	1.491425	1.342011	2.241009	1.288411	0.606741	2.180796	0.923265	0.924851	0.255133	0.657837	0.355741	1.783131	1.750868	1.746046	1.050404	1.372489	0.839344	1.437059	0.324970	1.436879	1.482862	0.997717	1.773926	0.255050	1.025701	-0.034392	0.469303	1.577532	0.048127	1.890428	1.735953	1.459033	1.625975	0.064066	-0.235803	1.730192	0.816943	0.766962	0.634879	1.762701	1.350560	0.841779	1.461736	0.675486	0.834769	1.017932	-0.158190	2.111427	1.786891	2.310264	1.791623	2.092003	1.096831	2.448891	1.845759	0.726188	0.649449	1.368663	0.635918	1.243084	0.647876	1.838951	1.225374	-0.335655	-0.281244	0.766821	-0.267617	1.400312	2.081261	1.159567	2.413302	1.744231	2.579058	1.738692	1.450170	1.632374	1.724271	-0.008675	1.138040	2.856112	1.391974	1.545686	1.415007	1.929997	1.210022
2.784141	2.609291	0.768744	1.515273	2.624108	2.070213	2.937987	1.391398	1.194772	2.212835	1.984774	2.348257	0.437085	-0.509220	1.648875	1.319207	-0.725033	0.732798	0.599524	0.630921	0.765772	1.306082	0.270196	0.437795	1.398149	0.757028	1.680709	1.767207	0.587405	0.390848	1.919222	0.103284	0.180166	-0.986796	0.030830	0.869051	1.544912	1.379442	1.752907	0.098458	1.131507	0.112353	1.684163	1.179303	1.897038	1.302856	1.107363	1.429622	0.390256	1.082898	0.474632	0.125861	1.612899	0.762407	1.445387	0.791842	0.397844	0.995047	-0.713388	-1.427935	1.041763	0.181445	1.012028	0.858906	2.200447	2.040763	0.733070	1.524444	0.197573	-0.079057	1.025460	-0.098048	1.526754	1.942131	2.608655	2.201564	2.414229	1.526634	2.359474	1.709759	0.958575	-0.191906	0.716613	0.426602	1.231751	0.657991	1.513232	0.944416	-0.414486	-1.187523	0.781505	-0.614862	1.315415	2.118852	1.245542	1.900946	0.325176	2.929397	1.039381	0.614990	2.431328	2.259278	0.124921	0.136829	2.650284	0.746192	0.862258	2.400208	2.515927	0.891650
2.518602	1.802365	1.088762	1.144590	1.544172	1.305211	2.479729	1.067959	0.601301	1.140427	1.497533	1.620693	0.465861	-0.635650	1.949710	1.462461	0.638012	1.440492	1.322474	1.087261	1.161842	1.264957	-0.166103	0.083271	0.371471	0.135210	1.010935	0.846523	-0.367425	0.812248	0.904840	-0.410582	0.323203	-0.650171	0.343586	0.734695	1.028859	0.794188	0.593616	-0.496284	0.603650	-0.593732	1.405396	1.351100	1.647704	0.979337	0.428189	0.338071	0.922653	1.011698	0.559968	0.221223	1.553906	0.767307	1.245187	0.257130	0.128685	0.554342	-0.549710	-1.714038	0.713118	0.224917	0.742270	0.640815	2.096052	1.750753	0.565638	0.529461	-0.295582	-0.372518	0.489425	-0.264898	1.085776	1.329685	2.527189	2.076365	1.650047	1.100066	1.328656	0.725539	1.342740	-0.390791	0.553908	0.355530	1.022189	0.859050	1.399525	0.848561	0.129351	-0.653508	0.830382	-0.131727	0.515912	1.059072	0.539430	0.571033	-0.949871	2.201480	0.621430	-0.365894	2.691134	2.222732	0.660692	-0.869459	1.807390	0.478887	0.126142	2.448899	1.999040	1.116049
1.539188	0.473080	1.236903	0.699739	-0.040498	0.125902	1.413695	0.537144	-0.152646	0.073991	0.877759	0.555339	0.614019	-0.266590	1.904397	1.665200	1.843304	1.761157	1.737708	1.508980	1.431969	0.756879	-0.091134	0.543137	-0.095770	-0.081523	-0.008997	0.037676	-0.575335	1.463185	0.153488	-0.338222	0.934141	0.518754	1.169738	0.464748	0.771884	0.298353	-0.481865	-0.341260	0.293448	-0.464211	0.808019	0.661007	0.673492	0.369836	-0.296174	-0.572245	1.195252	0.649880	0.129396	0.471920	1.130769	0.139324	1.493954	0.595449	0.741973	0.560071	0.289173	-0.899069	1.095933	0.874382	0.049673	0.101954	1.580382	0.705221	0.106745	-0.605196	-0.485614	-0.303489	-0.317453	-0.585658	0.977403	0.460549	2.144742	1.466077	0.130764	0.107363	-0.146366	-0.551855	1.532058	0.090146	0.724349	0.204417	0.653953	0.843178	1.386455	0.765556	0.701211	0.392083	0.818797	0.495311	-0.349832	-0.246460	-0.615970	-0.598158	-1.123749	1.307215	0.629775	-0.774125	2.238661	1.593547	1.230475	-0.952334	0.900421	0.613766	-0.460883	1.427128	0.898112	1.418670
0.613688	-0.285088	0.683455	0.158971	-0.815308	-0.323633	0.758405	0.219869	-0.760204	-0.312584	0.379109	-0.042237	0.543214	0.052999	1.402191	1.461889	1.405525	1.323849	1.159486	1.179541	1.105327	0.327381	0.254447	1.080081	0.426399	0.044398	-0.381816	-0.265898	0.204616	1.458688	0.304606	0.069557	1.173301	1.064647	1.620326	0.534419	0.768326	0.049507	-0.461119	0.210250	0.430510	0.462434	0.381286	-0.236930	-0.321946	-0.405499	-0.133113	-0.487796	0.794277	0.167820	-0.288485	0.541803	0.585261	-0.447377	1.606457	1.208393	1.279872	0.737045	0.893591	0.140326	1.562944	1.399146	-0.445179	-0.283289	0.912892	-0.173122	-0.338802	-0.891435	-0.315018	-0.386273	-0.926254	-0.824251	0.818977	0.077069	1.483175	0.594625	-1.103167	-0.655826	-1.162546	-1.376407	1.129293	0.560315	0.734910	0.021530	0.258051	0.380779	1.088370	0.373509	0.708375	0.704185	0.697213	0.566116	-0.430196	-0.645756	-1.400463	-0.761957	-0.377757	0.980945	0.725379	-0.302707	1.190437	0.674668	1.246289	-0.178809	0.379074	0.695037	-0.764833	-0.000364	0.128396	0.870417
0.148070	-0.059011	-0.277854	-0.286295	-0.425201	0.231241	0.653141	0.288610	-1.042367	-0.099987	-0.041671	0.119786	0.386192	0.298939	0.546507	0.645320	-0.282368	0.390318	0.022323	0.241351	0.306455	0.023308	0.328778	0.847464	1.105969	0.236550	0.086418	-0.039827	1.048482	0.427313	0.821790	0.389214	0.783842	0.630504	1.340175	0.759128	0.522623	0.059950	0.214580	0.499992	0.653233	1.205836	0.426292	-0.469009	-0.537135	-0.796382	0.860421	0.364160	0.125965	0.076186	-0.149955	0.439320	0.478376	-0.368463	0.940430	1.115885	0.915890	0.680514	0.797595	0.482051	1.186128	1.166018	-0.202329	-0.134897	0.314964	-0.149992	-0.164819	-0.319505	0.025637	-0.603316	-1.002504	-0.723803	0.239987	0.333203	0.591850	-0.188275	-1.178161	-0.623211	-1.125618	-1.341152	0.227945	0.425545	0.382963	0.154885	0.026222	-0.116771	0.371568	-0.263924	0.234923	0.278030	0.499108	0.236554	0.353575	0.046322	-1.236375	-0.098740	0.320515	0.966732	0.636423	0.546333	0.049895	-0.026421	0.460601	0.490191	0.250032	0.447693	-0.677091	-0.898441	0.058109	-0.601417
-0.077829	0.511893	-0.863702	-0.423516	0.424272	1.015831	0.461728	0.527270	-0.965150	0.184023	-0.442495	0.532332	0.282762	0.605728	-0.428890	-0.508870	-1.625249	-0.534895	-0.773357	-0.576922	-0.533880	-0.343707	-0.129504	-0.122233	0.901395	0.228402	0.595634	0.413152	0.937245	-0.984180	0.708275	0.402218	0.051703	-0.033530	0.545476	0.618604	-0.163007	0.202070	0.414560	0.289002	0.392846	0.967434	0.651901	0.119673	0.031040	-0.390276	1.457447	0.885896	-0.185658	0.518474	0.314402	0.227532	0.746062	0.343241	-0.278555	0.107728	-0.111119	0.278473	0.344361	0.206986	-0.157837	0.183357	0.459991	0.321570	-0.065849	0.540151	0.530741	0.326892	0.276772	-0.547036	-0.552528	-0.213588	-0.523691	0.578040	-0.358346	-0.542716	-0.215932	0.034631	-0.193667	-0.519764	-0.622586	-0.214300	-0.208649	0.518126	-0.068354	-0.184842	-0.568199	-0.754762	-0.284347	-0.130150	0.114094	0.000528	1.012767	0.792778	-0.286825	0.481085	0.426099	0.616729	0.392913	0.879503	-0.551092	-0.220293	-0.705406	0.456387	0.257999	0.063271	-0.310403	-0.866252	0.235179	-1.774585
