X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110
-0.079707	-0.033500	-0.059216	0.001273	-0.062981	0.054912	-0.090499	-0.131942	-0.086359	-0.124200	-0.057741	-0.050626	-0.144885	-0.158385	-0.224380	-0.139515	-0.102481	-0.318643	-0.161656	-0.122181	-0.062562	-0.047737	-0.111176	-0.103895	-0.065820	-0.144512	-0.056109	0.025791	-0.060353	0.210684	-0.293089	-0.115069	-0.165694	-0.181151	-0.027971	-0.087308	-0.111269	-0.128529	-0.121062	-0.098950	-0.170260	-0.143800	-0.061086	-0.092234	-0.039148	-0.041549	-0.007399	0.026463	-0.256955	-0.102958	-0.081639	-0.066280	-0.140531	-0.041192	-0.063792	-0.003334	0.097418	0.016503	-0.002727	0.033231	0.030324	-0.017438	-0.014013	-0.081708	-0.034382	-0.005527	0.148119	0.337620	-0.031881	-0.181414	-0.075955	-0.088283	0.010767	0.324855	0.095700	-0.027246	0.032096	0.021669	0.011700	-0.022078	-0.002448	-0.009856	-0.118957	-0.073333	-0.147152	-0.088999	-0.124417	-0.052647	-0.072115	-0.056570	-0.158324	-0.079535	0.022235	-0.055283	0.134738	0.035561	0.106008	0.047854	0.077292	0.008638	0.138046	0.004265	0.202121	0.116254	0.065871	0.103458	0.203490	-0.029696	-0.123458	-0.117856
-0.221507	-0.395064	-0.498798	-0.485619	-0.021587	-1.872529	0.005143	-0.792880	-0.679686	0.400296	-0.107476	-0.700018	0.081627	0.032996	0.086980	-0.758411	-0.659079	0.209015	0.296471	-0.225847	0.544113	1.176259	-0.121617	0.758013	-0.056111	-0.567667	-0.613233	0.522135	-0.578885	-0.415828	0.920036	-0.588016	0.418985	0.140534	-1.952979	-1.425797	-1.046474	-0.829451	-0.415719	-1.410094	0.380855	0.279004	-1.605265	-1.462042	-0.229670	-0.674138	-0.308049	-0.469537	0.404904	-0.107052	-0.155273	-0.113035	0.590971	0.824551	0.351411	-0.749739	-0.466472	0.730005	0.333109	0.130286	-0.315933	-0.285258	-0.516840	-0.438646	0.747805	-0.875798	-0.160177	1.341894	-0.237043	-1.911466	-0.986896	-0.397993	-2.055111	0.226397	-1.021435	-0.736113	-1.002681	-0.971740	-0.807158	0.081972	0.309111	-0.714356	0.167322	0.106857	0.380694	0.075580	0.646521	-0.506761	0.242446	-0.502802	-0.202903	-0.914717	-0.124700	-0.392692	-0.367890	0.903097	0.095405	-0.120714	-0.633460	-1.413198	-1.188148	-2.563803	-1.283620	-0.040675	-0.540111	-0.681760	-1.032861	-0.463717	0.208159	0.413324
-0.075753	-0.448145	-0.372764	-0.479910	0.352194	-1.978134	0.247077	-0.730123	-0.723772	0.326306	-0.124006	-0.955219	0.349272	0.195692	0.303266	-0.348484	-0.521278	0.458902	0.437297	0.102153	1.085442	1.809710	0.214208	1.089987	-0.003745	-0.385331	-0.782238	0.345259	-0.710113	-0.373490	1.266374	-0.398312	0.923821	0.613546	-2.266048	-1.423390	-1.362845	-0.842544	-0.595663	-1.909260	0.693847	0.377342	-1.347378	-1.487728	-0.127802	-0.399501	0.359140	0.157562	1.124375	0.642451	0.114531	0.020803	0.920056	1.286351	0.957534	-0.221255	-0.321717	1.170285	1.072455	0.878150	0.578091	0.614593	-0.152603	-0.152991	1.138158	-1.043329	-0.244541	1.036890	0.262001	-1.948373	-0.634760	0.173687	-2.137635	0.460074	-1.228931	-0.305224	-0.502994	-0.811309	-0.589931	0.512615	0.231619	-1.091415	0.244122	0.310547	0.882443	0.431859	1.172480	-0.171884	0.722427	-0.072287	0.172449	-0.525289	0.355624	0.125483	0.162814	1.660206	0.360184	-0.067527	-0.213953	-1.348108	-0.952581	-2.406374	-1.164215	-0.055486	-0.637246	-0.459952	-0.921928	-0.256463	0.555768	0.411651
0.141898	-0.314894	-0.011812	-0.250482	0.782131	-0.787080	0.593188	-0.135393	-0.530448	-0.282883	-0.094674	-0.908626	0.341036	0.050625	0.366048	0.570673	0.003245	0.311414	0.111626	0.440341	1.382635	1.536577	0.576621	0.838584	-0.003506	0.084400	-0.520496	-0.353498	-0.625002	0.170731	0.790280	0.134944	0.906526	0.816655	-1.205175	-0.555870	-0.941942	-0.329865	-0.804269	-1.615580	0.643957	0.142549	0.145832	-0.545551	-0.112226	0.268541	1.440354	1.303738	1.687817	1.772569	0.394510	0.029754	0.656243	1.318522	1.340961	1.001795	0.149325	0.938844	1.836480	1.748897	2.081144	2.019640	0.614542	0.357426	0.947921	-0.792073	-0.393224	-0.069980	1.204346	-0.649114	0.464760	1.136865	-0.576069	0.724635	-0.623634	0.825608	0.831330	0.009034	0.198832	0.890132	-0.335669	-1.197381	-0.000148	0.311188	1.003984	0.623737	1.107987	0.482620	1.036185	0.708354	0.549613	0.438717	0.923668	0.943685	1.205279	1.873723	0.655394	0.153533	0.906957	-0.184639	0.410804	-0.415124	0.097948	0.001089	-0.339157	0.487329	0.222245	0.437717	0.695389	0.049501
0.029544	-0.369443	-0.196956	-0.449393	0.768173	-0.331973	0.908073	0.131540	-0.727769	-0.788500	-0.038833	-0.930928	-0.186039	-0.504562	0.273470	0.635419	0.115679	-0.113506	-0.454457	0.085617	1.299949	0.617666	0.319204	0.296404	-0.236271	0.008976	-0.124839	-0.728381	-0.760030	0.491916	0.300046	0.196985	0.082187	0.278184	-0.376274	-0.359452	-0.284574	-0.065204	-1.205544	-1.228457	0.326934	-0.258633	0.786853	-0.149943	-0.669090	0.170118	1.561938	1.444750	1.782769	2.183717	0.078496	-0.402896	0.184016	1.133254	1.023607	1.225849	0.006071	-0.039627	1.845823	1.585303	2.456714	2.181082	0.628478	0.230025	0.352684	-0.909721	-0.984783	-0.389687	1.553450	0.209921	0.745963	1.265109	0.511176	0.582733	-0.145241	1.248211	1.015779	0.092696	0.310374	0.679073	-1.037014	-1.265337	-0.421337	-0.063257	0.454789	0.172702	0.431795	0.338435	0.723123	0.681754	0.246604	0.325238	0.581352	0.833879	1.351065	1.247449	0.556482	0.303050	1.286174	0.436234	1.133799	0.317814	0.750424	-0.028455	-0.151359	0.975531	0.793684	0.859073	0.368068	0.096215
-0.279157	-0.650257	-0.978144	-1.090868	0.429997	-1.336534	1.194432	-0.298839	-1.121397	-0.643389	0.084102	-1.062876	-0.761649	-0.932884	0.159876	-0.350647	-0.253272	-0.454916	-0.665200	-0.730778	0.960622	-0.166324	-0.539940	-0.190175	-0.624941	-0.662612	0.066628	-0.200751	-1.048039	0.301105	0.464702	-0.245060	-0.927769	-0.619007	-0.638498	-1.194020	-0.038763	-0.424183	-1.511400	-1.216647	0.085496	-0.641429	-0.152229	-0.868104	-1.397444	-0.669918	0.400285	0.248094	1.376401	1.418055	-0.717212	-0.890080	0.310042	0.778576	0.378426	-0.046045	-0.846360	-1.060989	1.032437	0.203216	1.215834	0.635653	-0.291913	-0.506171	-0.158769	-1.449040	-1.746237	0.618128	0.702998	-0.265043	-0.261114	0.280285	-0.128410	0.255549	-0.439103	0.553611	-0.449501	-0.803321	-0.444177	0.133325	-1.230911	-1.244568	-0.640632	-0.505562	-0.405618	-0.670531	-0.260359	-0.708482	-0.049536	-0.196734	-0.533164	-1.103936	-0.595413	-0.327528	0.239610	0.210964	0.148178	0.285516	0.365638	-0.187063	0.402227	-1.171690	0.114036	-0.107064	-0.232297	0.425345	-0.090751	0.590178	-0.267877	0.965354
-0.147367	-0.706843	-1.458004	-1.363817	0.428252	-2.293367	1.517775	-0.770327	-0.818313	0.091764	0.407005	-0.917226	-0.558545	-0.555660	0.290784	-1.006948	-0.345273	-0.307016	-0.057867	-0.899903	0.616683	-0.198283	-1.072133	-0.284084	-0.649975	-0.880733	-0.038118	0.830803	-0.850445	0.051191	1.176802	-0.271557	-0.990020	-0.857095	-1.139095	-1.706122	-0.323237	-0.897660	-1.089803	-1.273847	0.262324	-0.717030	-1.117018	-1.563135	-1.257571	-0.938682	-0.921508	-1.039024	0.761086	0.187777	-1.062224	-0.693745	1.298100	0.139661	0.303816	-1.428305	-1.421780	-1.148383	0.263149	-1.169119	-0.220152	-1.041690	-1.060047	-0.907396	-0.162613	-1.563282	-1.891592	1.825356	-0.708267	-1.179136	-1.352859	-0.798353	-1.490454	0.308267	-1.076000	-0.122967	-1.864353	-1.372008	-0.938513	0.035443	-0.539838	-0.825529	-0.393774	-0.471507	-0.780415	-0.987853	-0.314720	-1.423042	-0.517108	-0.821925	-0.799387	-2.163919	-1.411318	-1.337331	-0.963621	-0.442565	-0.062510	0.264181	-0.825947	-1.043933	-0.811841	-2.573493	-0.775282	-0.061951	-0.207239	-0.488183	-1.426916	0.030869	-0.643455	1.973511
0.615747	-0.204904	-0.910928	-0.659493	0.893597	-1.593292	1.640742	-0.506467	0.379544	0.826370	0.880309	-0.278123	0.436832	0.438597	0.736920	-0.279209	0.267747	0.339040	1.023243	0.070306	0.300328	0.286021	-0.517405	0.121652	0.104094	0.112054	-0.222024	1.365704	0.131558	0.138788	1.674389	0.659254	0.130411	-0.069447	-0.667407	-0.735320	-0.620888	-0.733229	0.171948	-0.778073	0.732527	-0.275129	-0.573947	-0.988245	0.025016	0.070112	-1.286450	-1.281523	0.228204	-0.524680	-0.383716	0.172674	2.238322	-0.635428	0.870740	-1.460480	-0.943383	-0.194830	0.171424	-1.310791	-0.443017	-1.195393	-0.781289	-0.418010	0.279153	-0.684453	-1.048124	1.884445	-1.428211	-1.238257	-1.282824	-0.993994	-1.769476	0.681466	-1.070096	0.205274	-1.566597	-0.598458	-0.381299	0.516396	0.669694	0.052616	0.144843	0.090011	-0.332737	-0.307265	0.201133	-0.828329	-0.248415	-0.595912	-0.117912	-1.437031	-1.073179	-1.226191	-1.130339	-0.494251	0.063063	0.396440	-1.031282	-0.933115	-1.207650	-1.695247	-0.814256	0.039639	0.208419	-0.775880	-1.554159	-0.216963	-0.423248	1.937286
1.241790	0.529972	0.272579	0.527643	1.017236	0.319854	1.076163	0.312087	1.395777	1.018931	1.066979	0.516208	1.147861	1.008684	1.078266	1.034978	0.943752	0.917765	1.514956	1.196128	-0.163066	0.489913	0.626413	0.600863	1.218639	1.533384	-0.164957	0.885399	1.202928	0.239132	1.271189	1.719905	1.246715	0.875145	0.633200	1.038511	-0.384101	0.145745	1.378690	0.365266	0.840360	0.406664	0.774444	0.481529	1.347749	1.281405	-0.767469	-0.699433	-0.167727	-0.534212	0.650888	0.776673	1.905331	-1.031679	1.023454	-0.346120	0.147483	0.784178	0.250306	-0.434150	0.154024	-0.113563	0.093176	0.388509	0.672977	0.622885	0.257890	0.731443	-0.939089	-0.364228	-0.270544	-0.467325	-0.583960	0.695385	-0.136185	0.889436	0.009496	0.782238	0.564612	0.768465	1.507381	0.957483	0.532631	0.565821	0.404384	0.687215	0.611699	0.430311	0.275027	-0.190054	0.715457	0.338600	-0.140912	-0.370451	-0.508765	-0.421256	0.033721	0.549828	-0.285826	-0.014511	-0.721285	0.559917	-0.229976	-0.148964	0.697024	-0.313075	-0.244758	-0.131313	0.054292	0.658208
0.901480	0.861053	1.091978	1.111947	0.183074	1.620965	-0.193447	0.862829	1.204744	0.735965	0.579750	1.029211	0.745333	0.578527	0.773775	1.385805	0.740882	0.883703	0.780733	1.196572	-0.748753	0.132061	1.093457	0.545975	1.710265	1.937463	0.218590	-0.071938	1.340400	-0.183317	0.136882	1.640740	1.130203	0.949026	1.506556	1.964586	0.383785	1.089392	1.512232	1.547497	0.123294	0.733106	1.057470	1.362122	1.467589	1.192296	-0.155989	-0.149671	-0.511224	-0.428877	0.921540	0.485949	0.282102	-0.756579	0.075955	0.591823	0.802585	0.820562	-0.327153	0.216027	0.146636	0.555812	0.456831	0.620847	0.629052	1.330564	1.142998	-0.519492	0.103741	0.419123	0.500182	-0.030122	0.811364	0.101885	0.838965	0.580771	1.097144	1.275521	0.759858	0.204059	1.434436	1.380035	0.580608	0.440861	0.679817	0.924191	0.494461	0.887701	0.292946	-0.345030	0.702461	1.249735	0.313724	0.221851	-0.083502	-0.519327	-0.532497	0.429312	0.346490	0.619225	-0.288121	1.575586	0.027480	-0.721828	0.709807	0.202374	1.046853	-0.100457	0.228832	-0.603823
-0.104018	0.615407	1.163833	0.758993	-0.956894	1.445181	-1.351173	0.806382	0.271568	0.546137	-0.296727	1.277488	-0.140101	-0.086787	-0.083809	0.621033	-0.254913	0.468034	-0.430802	0.234670	-1.131317	-0.180709	0.413761	-0.050071	1.147357	1.132090	0.628279	-0.538061	0.430828	-0.950071	-0.716487	0.466352	0.096665	0.306881	1.267495	1.498112	1.157889	1.482745	0.741641	2.095897	-0.980070	0.472191	-0.009644	1.050506	0.582424	-0.018742	0.152419	0.127034	-0.827505	-0.715934	0.355678	-0.112151	-1.240325	-0.268282	-1.113983	0.632124	0.660715	0.116440	-1.337101	-0.077673	-0.843850	0.000149	0.070283	0.269172	0.217212	1.205478	1.200651	-0.909549	0.711972	0.381377	0.477894	0.011319	1.241930	-0.485752	0.830691	-0.735055	0.879288	0.661579	0.199280	-0.579496	0.819169	1.300508	0.563103	0.009559	0.401418	0.278667	0.125437	0.207394	-0.208738	-0.689064	0.000200	0.673698	0.093404	0.275696	-0.119146	-0.441557	-1.252073	-0.002939	0.232520	0.447435	-0.476921	0.507334	-0.281211	-1.182706	0.218064	0.216938	1.020337	-0.185800	0.070110	-0.568110
