X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110
0.010407	0.061642	-0.121815	-0.059770	-0.028142	0.062671	-0.126207	0.015586	-0.093491	0.047076	-0.098999	0.028527	-0.036674	0.018761	-0.023038	0.108699	0.038664	0.113991	0.021544	0.105788	0.047275	0.096511	0.025276	0.076423	0.079330	0.000560	-0.148414	0.107761	-0.099935	0.166619	-0.162897	0.029327	-0.100135	-0.041038	-0.166179	-0.162275	-0.245017	-0.136983	-0.070823	-0.076778	0.015428	0.100701	-0.130609	-0.054721	0.101500	0.122346	-0.163504	-0.215108	-0.002021	0.027119	0.005605	0.097485	0.054096	0.071149	0.009393	0.015370	0.011272	0.110868	0.008030	0.066124	-0.028901	0.069174	-0.131775	0.026463	-0.007445	0.030777	0.002609	0.020183	-0.159293	0.017424	0.049627	0.116617	-0.031570	0.177086	0.204346	0.184350	0.019301	0.071925	0.026966	-0.029725	0.006112	0.035231	0.033115	0.093715	-0.032215	-0.125169	-0.062722	0.049190	0.030933	-0.065830	0.114309	0.026775	-0.145391	-0.225942	-0.026666	-0.134554	-0.216406	0.114559	0.113159	-0.120286	0.142662	0.063534	0.182988	-0.193679	0.056473	0.116352	-0.065032	0.154552	0.169592	0.060903
-1.080407	-0.865114	-1.177274	-0.582396	0.220041	0.088808	-0.120879	-0.438272	-0.859693	-0.314003	-0.628131	-1.137699	1.038407	0.576607	-0.820798	-0.675011	-0.973250	0.106136	-0.667441	-0.575323	-0.788157	-0.081617	-0.041352	-0.164541	-1.870414	-0.280945	-1.524331	-0.051535	-0.910932	-1.268733	-0.769881	-1.762400	0.849858	0.473248	1.384434	0.500851	0.006401	-0.056508	-0.022073	0.493110	-0.050087	0.150648	0.609236	0.395247	-1.856011	-1.085408	-1.583829	-1.383001	-0.140842	-0.324797	0.986080	0.258578	-0.681009	-1.499779	-0.201057	-0.855224	-0.842159	-1.093707	-0.441650	-0.833223	-0.236843	-0.671753	-0.874774	-1.641492	-0.429446	-0.562994	-2.099865	-1.328928	-2.319645	-1.616742	-0.411165	-0.254215	-0.583852	-0.214253	-1.619908	-0.906292	-0.604198	-0.631787	-0.539886	-0.672490	0.753694	0.790521	-0.085406	0.157663	-0.823621	0.727298	-1.283249	-0.282031	-0.183954	0.389440	-1.795001	-0.466123	-0.512581	-2.046790	-0.947625	-0.895501	-1.424977	-0.045859	0.605767	0.381654	-1.232914	-1.009015	-0.920247	-1.769042	-0.470999	1.332968	-0.528766	-0.991751	-1.042178	-1.752034
-1.653825	-1.107800	-1.335858	-0.885915	0.148413	-0.009741	-0.097807	-0.417046	-0.729521	-0.145510	-0.739045	-1.379500	1.562907	1.007453	-0.904525	-0.828870	-1.220487	0.293897	-0.831814	-0.536261	-0.924206	0.055668	0.078675	-0.116804	-2.714321	-0.246081	-1.833391	-0.821117	-0.909392	-1.602160	-0.778692	-2.057908	1.278321	0.743636	1.452444	1.017439	0.487899	0.061194	0.292343	0.921121	0.159539	0.286899	0.462058	0.288331	-2.502582	-1.695485	-1.859783	-1.588218	-0.603621	-0.566747	1.032941	0.501630	-0.948338	-1.520702	-0.337957	-0.955800	-0.927095	-1.431226	-0.626513	-0.975923	-0.721721	-1.033766	-1.081092	-2.246835	-0.703069	-0.696221	-2.932919	-2.000930	-2.571742	-2.106919	-0.278444	-0.089209	-0.900262	-0.416729	-2.911813	-1.255162	-0.560396	-0.915309	-0.467673	-0.892452	0.622095	0.833277	-0.251809	0.221911	-0.621781	1.150405	-1.401942	-0.166664	-0.361327	0.494534	-2.087029	-0.587773	-0.613797	-2.268636	-1.013721	-1.095460	-1.664792	-0.371542	0.342278	0.940672	-1.488043	-1.461627	-1.424967	-1.919868	-1.004342	1.152440	-0.612162	-1.090240	-1.365648	-2.276773
-1.466479	-0.638523	-0.671830	-0.829341	-0.128703	-0.155956	0.035239	0.011344	0.364399	0.487573	-0.201409	-0.745538	1.391173	1.171659	-0.305254	-0.303230	-0.758298	0.468625	-0.540725	0.140879	-0.575501	0.316169	0.293746	0.110131	-2.033652	0.223766	-1.067592	-1.640285	-0.119152	-0.860873	-0.080745	-0.678412	1.060919	0.740866	0.378793	1.478430	1.176037	0.299379	0.765688	1.245988	0.482337	0.347875	-0.296686	-0.077306	-1.685761	-1.505267	-0.959011	-0.771635	-1.170959	-0.585811	0.300295	0.721130	-0.632870	-0.119554	-0.339161	-0.332729	-0.188680	-0.791361	-0.527689	-0.406491	-1.336806	-0.999361	-0.593071	-1.464427	-0.736028	-0.393535	-2.172943	-1.822102	-1.107633	-1.380806	0.407251	0.534022	-0.604297	-0.553838	-3.221165	-0.776331	-0.056893	-0.681632	0.157823	-0.761020	-0.387273	0.134394	-0.448361	0.235448	0.630900	1.113952	-0.479845	0.218622	-0.224371	0.376217	-0.682109	-0.137600	-0.341861	-0.787901	-0.135719	-0.560200	-0.867418	-0.767065	-0.610412	1.225797	-0.598218	-1.192106	-1.080947	-0.662510	-1.440844	-0.300648	-0.192814	-0.142959	-0.793175	-1.285942
-0.714516	-0.031660	0.034658	-0.336749	-0.241248	-0.183647	0.262561	0.282206	1.599950	0.973419	0.725727	-0.093580	0.867839	1.030823	0.325710	0.388958	-0.222510	0.292943	-0.258741	0.710606	-0.435463	0.291728	0.325755	0.148920	-0.403634	0.845487	-0.103066	-1.395562	0.738847	0.064216	0.875642	1.193791	0.559876	0.662797	-0.210224	1.994110	1.742490	0.770172	0.903857	1.476045	0.430213	0.009776	-0.658598	-0.027743	-0.371689	-0.729273	0.167205	0.307049	-1.215479	-0.327936	-0.256957	0.735602	0.001844	1.225284	-0.172628	0.329303	0.822316	0.204919	-0.302939	0.190453	-1.593134	-0.810229	0.269410	0.094426	-0.521387	-0.060887	-0.534047	-1.051273	0.268559	-0.221478	1.040393	1.022295	0.441394	-0.755357	-2.361425	0.037773	0.179755	-0.180913	0.675198	-0.572562	-1.411165	-0.651388	-0.452984	0.246264	2.036083	1.014194	0.480840	0.396971	0.477561	0.517011	1.006261	0.681134	0.216195	1.063835	0.909180	0.369273	0.245736	-0.990982	-1.492130	0.868356	0.492165	-0.527080	-0.164769	0.793624	-1.582807	-1.619562	0.478305	0.905051	0.022215	0.266029
0.104718	0.180572	0.310797	0.497005	-0.005884	-0.090457	0.359426	-0.065827	2.018056	0.780273	1.330790	-0.098675	0.479161	0.749546	0.521521	0.706975	0.066396	-0.138545	-0.184584	0.616645	-0.620856	-0.015029	0.064358	-0.135876	0.979412	1.048193	0.349720	-0.000716	1.067879	0.557470	1.457505	2.105558	0.274559	0.719753	0.467951	2.284599	1.770248	1.399095	0.321147	1.336424	-0.216148	-0.794847	-0.236393	0.410563	0.411012	0.250905	0.672610	0.916396	-0.418254	0.106420	-0.084935	0.514462	0.573840	1.451967	0.164179	0.533973	1.563792	0.854781	-0.048249	0.322385	-1.168881	-0.618426	1.014300	1.398231	-0.101620	0.050361	0.963241	-0.072453	0.388330	0.700448	1.120466	0.960786	1.654329	-0.814254	-0.665700	0.664141	-0.064748	0.246887	0.632419	-0.329727	-1.573635	-0.878400	-0.002498	0.424963	2.575211	1.206539	0.718063	0.318091	1.413942	1.086873	1.545806	1.291593	0.833887	1.940275	1.180588	1.093416	0.965382	-0.963497	-1.703014	0.084364	0.909242	0.229877	0.610553	1.427467	-1.325802	-1.745749	0.900026	1.220575	0.586922	1.126403
0.545368	-0.014767	0.298182	1.173477	0.453764	-0.075390	0.138491	-0.885214	1.290832	-0.066640	1.038973	-0.694604	0.365619	0.565586	0.459569	0.538078	0.367462	-0.338968	-0.133561	-0.011260	-0.596181	-0.183768	-0.291301	-0.464609	1.178700	0.464889	0.336446	1.285612	0.873796	0.722213	1.311443	1.459533	0.330348	0.894067	1.397302	1.753999	1.052747	1.692594	-0.751549	0.485029	-1.052413	-1.618409	0.316346	0.477063	0.378842	1.029064	0.502214	0.873222	0.731429	0.470817	0.397080	0.173200	0.833284	0.891029	0.612804	0.367158	1.762213	0.878776	0.253842	0.145693	-0.280773	-0.396935	1.364912	1.768478	0.405623	0.072081	1.764023	0.682348	-0.236214	1.185827	0.700300	0.557368	1.984293	-0.498760	0.964722	0.867819	-0.284421	0.415848	0.202315	0.094491	-0.816766	-0.572031	0.678007	0.711818	1.899710	1.474507	0.333003	0.348066	1.631044	1.502574	0.736540	1.203469	1.205841	1.612749	0.490538	1.238621	1.042990	-0.843191	-1.368376	-0.435658	0.582562	0.943110	0.542080	1.150179	-0.845421	-1.039402	0.652372	0.853527	0.827540	0.799766
0.424307	-0.280327	0.156946	0.989313	0.841906	-0.339820	-0.313551	-1.568305	-0.202918	-1.131884	-0.037618	-1.420454	0.240030	0.529841	0.527980	0.177717	0.849200	-0.067500	-0.084520	-0.691388	-0.082639	0.042410	-0.482196	-0.500284	0.217904	-0.705878	0.267965	1.247899	0.533567	0.778536	0.589817	-0.145054	0.377746	0.941825	1.120187	0.199570	-0.245489	1.032458	-1.644835	-0.982030	-1.450974	-1.861328	0.253531	-0.262307	-0.187625	1.161977	0.097284	0.344386	1.277301	0.553827	0.434487	-0.193048	0.748121	0.494602	0.958580	0.145784	1.268865	0.414723	0.577742	0.124492	0.492927	-0.142744	1.349200	1.245607	0.682002	0.137769	1.942801	0.846471	-0.515075	1.189509	0.143405	0.317229	0.898598	-0.006801	1.565068	0.676223	-0.063348	0.330390	-0.202756	0.437489	0.068485	-0.304994	0.813497	0.641633	0.436669	1.177946	-0.145713	0.602825	0.445836	0.965932	-0.532404	0.465839	1.094528	0.774130	-0.389670	0.952264	0.562518	-0.792021	-1.040842	-0.306509	0.106082	1.431792	-0.397038	0.423184	-0.479524	-0.614441	-0.248730	0.472451	0.746799	-0.154752
-0.160364	-0.409277	-0.180491	-0.128732	0.813113	-0.879390	-0.748017	-1.671852	-1.755183	-1.964716	-1.174889	-1.890697	-0.137264	0.477714	0.689899	-0.006522	1.131763	0.346921	-0.352877	-1.103308	0.507750	0.451496	-0.443900	-0.260537	-0.980080	-1.829069	0.310117	0.012763	0.362898	0.586728	-0.146928	-1.466866	0.103058	0.680507	-0.372087	-1.584517	-1.581963	-0.487464	-1.924819	-2.367408	-1.251536	-1.436031	-0.321503	-1.271851	-0.993484	0.368169	-0.112397	-0.358285	0.729817	0.381399	-0.138103	-0.514160	0.502207	0.600411	0.885364	-0.000934	0.166943	-0.205381	0.784603	0.434797	0.745499	0.022484	1.176964	0.398144	0.353255	0.049600	1.810748	0.518721	-0.068635	0.774540	-0.308396	0.413331	-0.909289	0.258189	0.957705	0.314483	0.395594	0.117520	-0.460910	0.262110	0.273312	-0.410651	0.014315	-0.076569	-0.990631	0.125395	-0.354343	0.731297	-1.498047	-0.383554	-1.287161	-0.375883	0.602103	0.179343	-0.533493	0.706718	-0.137046	-0.735798	-0.965656	0.202021	0.104999	1.471780	-1.312777	-0.232603	-0.339847	-0.857555	-1.239852	0.541553	0.339206	-0.776748
-0.836667	-0.483144	-0.489775	-1.172927	0.143941	-1.435608	-1.023090	-1.341602	-2.623655	-2.242052	-1.634411	-1.812640	-0.539140	0.291293	0.584882	0.144036	0.827096	0.438104	-0.977959	-1.151453	0.708858	0.677770	-0.252783	-0.060959	-1.401322	-2.291929	0.339524	-1.215200	0.432914	0.011681	-0.316507	-1.640731	-0.279482	0.242290	-1.583781	-2.240229	-2.242602	-1.754294	-1.709947	-2.858977	-0.898574	-0.903183	-0.721073	-1.684672	-1.794104	-1.055691	0.126913	-0.709850	-0.371727	0.187750	-0.820670	-0.647510	0.403053	0.774511	0.318363	-0.093546	-0.916319	-0.598812	0.748106	0.782852	0.538666	0.001345	1.033617	-0.154979	-0.476712	-0.391411	1.494590	0.348360	0.802904	0.362295	-0.537077	0.543285	-2.001039	0.249529	0.012117	0.087297	0.719842	-0.006713	-0.681012	-0.227831	-0.166754	-0.548004	-0.907326	-0.903485	-1.632033	-0.938323	-0.163939	0.479782	-2.444647	-1.210125	-1.150807	-0.771988	0.189789	0.150976	0.123566	0.761335	-0.427132	-0.462593	-0.816548	0.668284	0.701439	1.149724	-1.126704	-0.292255	-0.179059	-1.010424	-1.553266	0.924932	-0.061231	-0.621358
