X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55
0.106339	0.144309	0.081599	0.055059	-0.125193	0.196861	-0.027072	-0.021156	0.045221	0.055626	-0.072841	0.048706	0.198198	-0.030232	0.053034	0.232955	0.033393	0.268915	0.242575	0.139268	0.139172	0.111435	0.199718	-0.012387	-0.078322	-0.118231	0.028309	-0.009098	0.031000	-0.056125	-0.025658	-0.106375	0.065776	-0.051016	0.043057	-0.070884	0.178003	0.183325	0.079129	-0.032386	-0.056215	0.102118	0.120237	0.117738	0.082297	0.176850	-0.095782	-0.082641	0.080152	0.150168	-0.027999	0.009419	-0.049145	-0.100995	0.046303
0.437133	0.132350	-0.344245	0.063277	0.614678	-0.978910	-0.768554	-0.105535	0.368595	0.634519	0.767730	0.495198	-1.415954	0.827779	-0.859920	-1.516218	-0.494752	-0.909698	-1.498777	-0.823538	-0.128559	-1.738934	-1.543188	0.141255	1.132248	0.379000	-0.139632	0.352969	0.638024	0.835473	0.729623	0.318567	0.746564	0.475549	-0.197898	0.145859	-0.141845	-1.084540	-1.198106	-0.342923	0.799489	-0.215710	-0.031807	0.556997	0.733887	0.563056	0.226996	-0.372168	-0.041817	-0.156392	-0.279586	0.920325	0.819351	0.651568	0.214340
-0.091512	-0.152871	-0.644808	-0.557224	0.602461	-1.469531	-0.747188	0.468563	0.258898	0.446284	0.940701	0.182780	-2.181321	0.686678	-1.846091	-1.819296	-0.267198	-1.543006	-1.564786	-1.453423	-0.488357	-2.669946	-2.056003	-0.272349	1.349223	0.788454	-0.068384	0.384909	1.286906	1.290491	0.782095	-0.210442	0.774628	0.952101	-0.495625	-0.337429	0.001475	-1.545482	-1.722932	-0.804954	0.808040	-0.327462	0.054398	0.665167	0.507390	0.585702	-0.313047	-0.209018	0.233961	0.080470	-0.242538	0.678757	1.162345	0.887303	0.681053
-0.906819	-0.435314	-0.556822	-1.201037	0.070753	-1.181321	-0.085039	1.250356	-0.181050	-0.235596	0.642070	-0.412050	-1.674841	-0.461979	-2.223467	-0.700281	0.512109	-1.392764	-0.287521	-1.354068	-0.558591	-2.196874	-1.318606	-0.929738	0.553935	0.838218	0.077940	0.180693	1.472793	1.115047	0.208100	-1.139440	0.267924	1.039934	-0.553175	-1.039047	0.085333	-0.964359	-1.318841	-1.084882	0.076343	-0.232451	0.212308	0.401639	-0.256723	0.257347	-1.160805	0.197386	0.694101	0.592894	0.068466	-0.327847	0.920675	0.627218	1.055662
-0.860382	-0.343238	-0.091834	-0.862525	-0.245184	-0.545925	0.449523	1.207021	-0.510511	-0.599595	0.346779	-0.386054	-0.340065	-1.465745	-1.210689	0.547614	0.884934	-0.619242	0.651012	-0.516669	-0.099271	-0.665346	-0.185403	-0.937410	-0.377176	0.355761	0.056631	0.019137	0.692506	0.448835	-0.356890	-1.118378	-0.190902	0.476358	-0.140358	-0.904298	-0.406646	0.093942	-0.359072	-0.663161	-0.597109	-0.129563	0.061362	-0.122748	-0.683486	-0.266921	-1.049368	0.294131	0.711647	0.588062	0.320731	-0.755323	0.372853	0.224313	0.663114
-0.010022	-0.038376	0.237528	0.248282	-0.224979	0.055418	0.441030	0.120072	-0.533908	-0.461061	-0.076043	0.070141	0.777978	-1.202156	0.774845	0.835823	0.332720	0.421177	0.502064	0.437342	0.344735	0.940545	0.781718	0.032705	-0.749397	-0.361625	-0.017553	-0.101697	-0.672090	-0.347113	-0.507330	0.149051	-0.426383	-0.427442	0.408002	0.221015	-0.817813	0.734124	0.687855	0.453616	-0.715531	-0.123715	-0.414169	-0.812843	-0.666660	-0.925987	0.221973	0.038424	0.058987	-0.187196	0.248713	-0.129634	-0.280745	-0.142055	-0.461848
0.458388	0.095865	0.039569	0.844513	-0.351128	0.590483	0.281970	-1.060584	-0.444587	-0.317962	-0.889322	-0.062560	1.069822	-0.042096	2.131278	0.239318	-0.499359	1.404883	0.186428	0.879167	0.101172	1.821903	1.611400	1.273364	-0.797367	-0.712700	0.086342	-0.355796	-1.527960	-0.897945	-0.330235	1.543042	-0.782418	-0.997783	0.589118	1.379470	-0.284523	0.635076	1.534268	1.593972	-0.465298	-0.017338	-0.699235	-1.405993	-0.696130	-1.471162	1.506076	0.036860	-0.679083	-1.008607	0.047245	0.598822	-0.939021	-0.475230	-1.406234
0.013471	0.118108	-0.346347	0.266948	-0.674854	1.076746	0.579585	-1.240357	-0.421016	-0.413971	-1.506954	-0.964301	0.871505	0.481445	1.720509	-0.432947	-0.551485	2.005310	0.681845	0.856379	-0.579454	1.868676	2.238125	1.828710	-1.073656	-0.358446	0.270434	-0.587247	-1.161194	-0.973187	-0.018025	1.958380	-1.327292	-0.910104	0.481789	1.716425	0.651560	0.373881	1.996845	2.060813	-0.212798	0.418664	-0.298928	-1.423091	-0.778974	-1.364558	1.810269	0.698880	-0.686887	-0.996945	0.182327	0.396919	-1.291693	-0.644386	-1.343729
-0.445399	0.384626	-0.301125	-0.721512	-0.505990	1.293231	1.341577	-0.207078	-0.309980	-0.365326	-0.933403	-1.515536	0.724866	-0.270588	0.184268	-0.634459	0.314328	1.820820	1.540057	0.803043	-0.808021	1.314452	2.162597	1.496982	-1.362209	0.471289	0.285458	-0.313080	0.113810	-0.568870	0.371288	1.425064	-1.419147	-0.437891	0.606329	1.355683	0.642563	0.638497	1.914989	1.735387	-0.014691	1.047389	0.660340	-0.659086	-0.373820	-0.397356	1.384669	1.536842	0.143907	-0.137558	0.744705	-0.503654	-0.881370	-0.424228	-0.397418
0.098451	0.912319	0.193501	-1.043722	0.567678	1.044926	1.910537	1.357825	0.156347	0.175243	0.766366	-0.789241	0.574737	-1.035821	-0.786062	-0.470735	1.138618	0.681509	1.581516	0.774744	-0.306719	0.313551	1.038836	0.827105	-0.859204	1.194203	0.216133	0.610119	1.370849	0.079791	0.697642	0.651217	-0.422206	0.061661	1.056149	0.922446	-0.342184	1.295229	1.282214	0.965145	0.274877	1.486129	1.520939	0.441444	0.658775	0.827103	1.026546	1.614065	1.060501	0.806713	1.229577	-0.956053	0.319390	0.150541	0.641838
