X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55
-0.164840	0.050830	-0.030900	-0.066011	0.039940	-0.022967	0.020046	-0.147114	-0.027713	-0.001410	-0.241866	-0.096029	0.010810	0.019908	-0.014952	0.008478	0.007968	0.079685	-0.021870	-0.139657	-0.143431	0.006915	0.036595	-0.010870	0.090431	0.087292	-0.039862	-0.030383	-0.076156	-0.179975	-0.139003	0.031800	-0.215408	0.060234	-0.063361	0.028609	-0.101595	0.218860	0.063652	0.050023	0.000523	-0.050825	0.027248	0.050232	0.010412	-0.024608	-0.000544	-0.014830	-0.061836	0.021679	0.028825	0.090579	0.130337	0.243718	-0.016990
-0.278025	-0.992153	-0.433128	0.042924	-0.550855	-0.479472	-0.465117	-0.895336	-1.001575	-0.533827	-0.170258	-0.260265	-0.556911	-0.266648	-0.263897	-0.006218	-0.686203	-0.170253	-0.759605	-0.623379	-0.262335	0.041807	-0.245692	-0.212945	-0.590180	-0.401685	-0.605778	-0.605140	-0.749569	-0.749961	-0.312596	-0.178071	-0.557270	-0.611368	0.227663	-0.366891	-0.254029	-0.527979	-0.346460	-0.115856	-0.824321	-0.611606	-0.714818	-0.495055	-0.433927	-0.464868	-0.285487	0.202464	-0.508569	-0.575005	-0.657852	-0.562661	-0.110768	-0.661486	-0.265844
-0.007550	-0.446351	-0.091538	0.361013	-0.310821	-0.179086	-0.177873	-0.131143	-0.217652	-0.106041	0.155623	0.047414	-0.238247	0.018306	0.035618	0.179925	-0.299399	0.049049	-0.426622	-0.091917	0.011372	0.257537	-0.115737	0.203847	-0.234982	-0.266024	-0.303436	-0.131889	-0.304319	-0.006450	0.109069	0.082970	-0.079684	-0.125337	0.052491	-0.068706	-0.033933	-0.159888	-0.136029	0.014233	-0.418395	-0.287380	-0.262561	-0.223730	-0.412526	-0.175220	0.119299	0.006534	-0.136429	-0.243449	-0.104753	-0.419488	-0.162663	-0.163908	-0.170586
0.640717	1.117082	0.582158	0.851353	0.574761	0.704659	0.512402	1.722060	1.653732	0.901642	0.709110	0.826953	0.738673	0.869539	0.712129	0.518788	0.714458	0.508213	0.750465	1.135330	0.678648	0.540125	0.301243	0.988442	0.828120	0.245644	0.648359	0.904358	0.875548	1.459355	0.824377	0.532544	0.977597	1.204504	-0.181541	0.700168	0.637568	1.043784	0.536073	0.292658	0.853183	0.664971	0.865941	0.512321	-0.040764	0.548673	0.887511	-0.457250	0.824145	0.788468	1.098039	0.303222	0.142314	1.151774	0.127409
1.218248	1.728809	0.549587	1.159239	1.026351	1.176146	0.500974	2.805448	2.360542	1.114308	1.266908	1.457975	1.224309	1.651969	1.099172	0.692020	0.887158	0.479617	1.397062	1.684270	1.236119	0.487018	0.455686	1.263429	1.281112	0.267328	1.118445	1.082347	1.299250	1.851723	1.008868	0.471806	1.452073	1.984349	0.120425	1.001641	1.307007	1.682156	0.872937	0.283012	1.445753	1.098277	1.060414	0.658236	0.012843	0.636339	1.029385	-0.552262	1.317500	1.329315	1.240211	0.700464	0.631623	1.480670	0.230838
1.242782	0.633615	-0.362514	0.874573	0.308879	0.539012	-0.539900	2.049591	0.971187	-0.108938	1.626999	1.204893	0.498195	1.702375	0.825921	0.406912	-0.289678	-0.338686	0.564162	0.717140	1.063406	-0.177600	0.073065	0.619974	0.491962	-0.516558	0.404757	-0.009912	0.233528	0.540408	0.395697	-0.214349	0.572294	1.454933	0.642837	0.304005	1.308653	0.910082	0.445003	-0.119836	0.555509	0.383906	-0.191745	-0.079520	-0.642204	-0.375854	0.185100	0.122072	0.726678	0.649463	-0.170471	0.355741	0.741863	0.280445	0.078876
0.705691	-0.815464	-1.108488	0.024155	-0.982970	-0.700965	-1.525772	0.327090	-1.026460	-1.671312	1.588871	0.094184	-0.791879	1.011086	0.155005	-0.200189	-1.527027	-1.261978	-1.011495	-1.006531	0.106182	-1.082667	-0.415222	-0.303936	-0.656166	-1.248657	-0.784963	-1.142159	-1.279165	-1.058609	-0.394994	-0.784183	-0.992450	0.296733	0.585526	-0.759874	0.564511	-0.501332	-0.175226	-0.428014	-0.868702	-0.747071	-1.507977	-0.822830	-1.386875	-1.541758	-0.816512	1.106174	-0.348924	-0.551377	-1.623190	-0.199794	0.171891	-0.985594	0.000152
0.079922	-1.088972	-0.750131	-0.756490	-1.510627	-1.313438	-1.213306	-0.726402	-1.642353	-1.887242	0.910470	-0.897346	-1.321852	0.201493	-0.406922	-0.552820	-1.293949	-1.241526	-1.628335	-1.855369	-0.888503	-1.300000	-0.388354	-0.553072	-0.886996	-0.836269	-1.050413	-1.010517	-1.601012	-1.220187	-0.581376	-0.542268	-1.746175	-0.403472	-0.007145	-0.972038	-0.187953	-1.099187	-0.144059	-0.156128	-1.301828	-1.069693	-1.377885	-0.717534	-1.172804	-1.541566	-0.899063	1.420956	-0.795852	-0.966329	-1.487687	-0.260145	-0.552601	-0.871692	0.163623
-0.225464	-0.430844	0.299027	-0.800433	-0.809803	-0.764951	0.145808	-0.594945	-0.622361	-0.521095	-0.365568	-0.884891	-0.664495	-0.188914	-0.639316	-0.245700	0.153620	-0.157734	-0.653906	-1.070442	-1.059288	-0.334817	0.062824	-0.059132	-0.135154	0.507539	-0.041665	0.104366	-0.469634	0.042261	-0.008328	0.211819	-1.108911	-0.475428	-0.244108	0.016553	-0.219032	-0.539874	0.402747	0.404299	-0.513028	-0.382148	-0.122898	-0.019992	0.069908	-0.362174	-0.070028	0.664724	-0.324778	-0.331866	-0.056626	0.144540	-0.597582	0.143355	0.308519
-0.299770	-0.192134	0.796293	-0.202784	0.113996	0.140054	1.012904	-0.232806	0.655986	0.880272	-1.597195	-0.209823	0.214412	-0.277685	-0.699546	0.349847	1.032615	0.798322	0.667721	0.430764	-0.379255	1.012455	0.135288	0.191104	0.470942	1.225056	0.979726	0.786876	0.720735	1.183122	0.810604	0.418528	-0.140754	-0.544846	0.214742	1.025058	0.334172	0.073910	0.390844	0.364666	0.242411	0.322306	0.635558	0.362553	1.174116	0.674117	0.477736	-0.448487	0.252911	0.298397	0.948299	0.345869	0.115262	0.503255	0.186203
-0.512637	-0.742946	0.277477	0.229145	0.098646	0.256684	0.530882	-0.693534	0.999321	0.866438	-1.961734	-0.082271	0.200066	-0.612491	-0.794363	0.384097	0.374596	0.426770	0.778509	1.108504	0.310274	1.289891	-0.605999	-0.629126	0.137401	0.300753	0.663671	0.367659	0.681327	1.106254	1.246980	-0.529434	-0.208393	-0.910969	0.660295	0.550219	0.679237	-0.287840	-0.713337	-0.662351	-0.078789	0.245865	0.182696	0.079883	1.179982	0.615072	-0.287177	-0.904736	0.161789	0.059677	0.634001	-0.080073	0.810344	-0.210025	0.019898
-0.952119	-1.026114	-0.400538	-0.065489	-0.662117	-0.500398	-0.370018	-1.816703	0.469737	-0.239067	-1.309647	-1.021797	-0.572212	-1.423703	-0.895031	-0.457353	-0.705081	-0.925314	-0.246792	0.477679	0.280878	0.101793	-1.485786	-1.969916	-0.643539	-1.253398	-0.708817	-0.294142	-0.243261	0.289793	1.079186	-1.948380	-1.247355	-1.127207	0.551921	-1.324479	0.315627	-1.271238	-1.968151	-1.904364	-0.937876	-0.191674	-0.503063	-0.340658	0.496976	-0.040816	-1.910220	-0.585083	-0.309938	-0.515583	-0.106100	-0.795372	0.899899	-0.904224	0.240940
-1.255361	-0.245286	-0.282901	-0.747405	-0.957363	-1.122577	-0.306467	-2.459826	-0.197894	-0.976100	-0.325964	-2.112698	-0.953221	-2.182963	-0.828874	-1.489455	-0.604828	-1.644961	-0.914708	-0.536722	-0.312589	-1.282629	-1.413760	-2.292542	-0.877576	-1.479740	-1.574172	-0.096028	-0.704532	-0.183953	0.541075	-2.383779	-1.892234	-0.762449	0.346625	-2.723486	-0.506017	-1.721589	-1.960729	-2.123628	-0.948812	-0.094854	-0.302904	-0.282176	0.138078	-0.272324	-2.731949	-0.253894	-0.299267	-0.285977	-0.064764	-1.106659	0.594106	-0.754741	0.827644
