Direction,Rank,Source,Target,SourceIndex,TargetIndex,ASD_mean,TC_mean,Difference,AbsoluteDifference,PValue,FDR_q
ASD_enhanced,1,ROI_038,ROI_037,37,36,0.019776036049698645,0.01768398860034037,0.002092047449358276,0.002092047449358276,1.3336612339122924e-08,6.283897931551448e-06
ASD_enhanced,2,ROI_037,ROI_038,36,37,0.01975173991877898,0.017663094487234757,0.002088645431544224,0.002088645431544224,1.233497459337285e-08,6.175196655807283e-06
ASD_enhanced,3,ROI_017,ROI_018,16,17,0.019432623120892584,0.01762865213032215,0.0018039709905704332,0.0018039709905704332,2.2474948335690502e-11,3.600486723377619e-08
ASD_enhanced,4,ROI_018,ROI_017,17,16,0.019535015970758993,0.01776046391568465,0.001774552055074343,0.001774552055074343,7.011062048590072e-11,9.359767834867746e-08
ASD_enhanced,5,ROI_058,ROI_057,57,56,0.01823938527955995,0.017013316907520806,0.0012260683720391428,0.0012260683720391428,2.4538510468547235e-07,5.070597018988533e-05
ASD_enhanced,6,ROI_044,ROI_043,43,42,0.02128321899293575,0.02009065446214049,0.001192564530795262,0.001192564530795262,6.514556371900423e-05,0.002880714669710648
ASD_enhanced,7,ROI_043,ROI_044,42,43,0.021088848905329236,0.01990206932923172,0.0011867795760975158,0.0011867795760975158,5.6864564053855126e-05,0.0026481695236708113
ASD_enhanced,8,ROI_057,ROI_058,56,57,0.01823586942246783,0.017053884421817926,0.0011819850006499037,0.0011819850006499037,8.416162605532394e-07,0.0001375784948373765
ASD_enhanced,9,ROI_049,ROI_056,48,55,0.013891229375136642,0.012765340987810648,0.0011258883873259944,0.0011258883873259944,1.1966970290564592e-12,6.437084163041662e-09
ASD_enhanced,10,ROI_056,ROI_049,55,48,0.01382667258142205,0.012776423276914082,0.001050249304507967,0.001050249304507967,1.1451336753823897e-11,2.2931301849532355e-08
TC_enhanced,1,ROI_052,ROI_066,51,65,0.010332253046304743,0.011054626297108926,-0.0007223732508041831,0.0007223732508041831,2.0303703568301085e-08,8.131633279104583e-06
TC_enhanced,2,ROI_066,ROI_052,65,51,0.0102862487147702,0.01095373127145846,-0.0006674825566882602,0.0006674825566882602,1.1135002588980282e-07,2.702768810234305e-05
TC_enhanced,3,ROI_042,ROI_088,41,87,0.011509836300096492,0.012125738386419557,-0.0006159020863230648,0.0006159020863230648,1.7980966513260742e-05,0.0011252151700876449
TC_enhanced,4,ROI_088,ROI_042,87,41,0.011521775356256068,0.012101418767084097,-0.0005796434108280291,0.0005796434108280291,6.0868877845058845e-05,0.0027755810032469835
TC_enhanced,5,ROI_049,ROI_065,48,64,0.009408496106025304,0.009983921455808016,-0.0005754253497827124,0.0005754253497827124,3.7338038524042564e-07,6.955295083199556e-05
TC_enhanced,6,ROI_078,ROI_082,77,81,0.011137735051398853,0.011712310589785441,-0.0005745755383865878,0.0005745755383865878,1.102059927155789e-06,0.00016690616367915758
TC_enhanced,7,ROI_037,ROI_055,36,54,0.010868806081513563,0.011436156588868597,-0.0005673505073550342,0.0005673505073550342,2.7649403345176116e-06,0.00032097350839834887
TC_enhanced,8,ROI_012,ROI_026,11,25,0.008812367296133184,0.009378907148770634,-0.0005665398526374498,0.0005665398526374498,5.774825572358927e-09,4.2051229849631825e-06
TC_enhanced,9,ROI_082,ROI_078,81,77,0.01112732631435752,0.011691607880603635,-0.000564281566246114,0.000564281566246114,1.3872879107732115e-06,0.00020203956664169862
TC_enhanced,10,ROI_065,ROI_052,64,51,0.009724969726934535,0.010274514450098981,-0.0005495447231644458,0.0005495447231644458,2.526274118085074e-07,5.070597018988533e-05
