Source,Target,SourceIndex,TargetIndex,ABIDE_I_Hedges_g,ABIDE_II_Hedges_g,ABIDE_I_AbsHedges_g,ABIDE_II_AbsHedges_g,MeanAbsHedges_g,ABIDE_I_QValue,ABIDE_II_QValue,ABIDE_I_Rank,ABIDE_II_Rank,SameDirection,Replicated,ReplicationClass,ReplicatedRank
ROI_041,ROI_015,40,14,-0.19719862027637278,-0.18864415504683232,0.19719862027637278,0.18864415504683232,0.19292138766160255,0.04230193837314035,0.03470041928420134,695,767,True,True,replicated_ASD_reduced,160
ROI_041,ROI_085,40,84,-0.29626777487947964,-0.28199143199002813,0.29626777487947964,0.28199143199002813,0.2891296034347539,0.0012371531831229818,0.0008727594986328391,96,110,True,True,replicated_ASD_reduced,23
ROI_042,ROI_085,41,84,-0.24061523589534156,-0.19528992722931796,0.24061523589534156,0.19528992722931796,0.21795258156232977,0.010754218187903557,0.028448638218154944,320,676,True,True,replicated_ASD_reduced,128
ROI_042,ROI_088,41,87,-0.2712384735547849,-0.277973528719836,0.2712384735547849,0.277973528719836,0.2746060011373105,0.003556101647432755,0.0011252151700876468,174,123,True,True,replicated_ASD_reduced,38
ROI_050,ROI_055,49,54,0.22872659517614707,0.3173159566019841,0.22872659517614707,0.3173159566019841,0.27302127588906555,0.015653805484431602,0.00012935628538135127,383,48,True,True,replicated_ASD_enhanced,42
ROI_052,ROI_053,51,52,0.21774479508550498,0.2608644512001536,0.21774479508550498,0.2608644512001536,0.2393046231428293,0.02195349733628856,0.0023074725545490023,492,166,True,True,replicated_ASD_enhanced,97
ROI_052,ROI_054,51,53,0.1925463537511645,0.2467350569795984,0.1925463537511645,0.2467350569795984,0.21964070536538144,0.04995951160610271,0.004409273738400697,747,225,True,True,replicated_ASD_enhanced,126
ROI_055,ROI_037,54,36,-0.2262313143273146,-0.28434416451917727,0.2262313143273146,0.28434416451917727,0.25528773942324595,0.017475574642201324,0.0007347303995628977,419,105,True,True,replicated_ASD_reduced,66
ROI_055,ROI_038,54,37,-0.2689336271251604,-0.2157958113697325,0.2689336271251604,0.2157958113697325,0.24236471924744646,0.0036494967153772135,0.014176927477169346,183,441,True,True,replicated_ASD_reduced,91
ROI_055,ROI_045,54,44,0.1997282221245513,0.35245478162465077,0.1997282221245513,0.35245478162465077,0.276091501874601,0.04046986712695263,1.3662636969906756e-05,656,23,True,True,replicated_ASD_enhanced,34
ROI_055,ROI_050,54,49,0.23317796991563766,0.31726408070344175,0.23317796991563766,0.31726408070344175,0.27522102530953974,0.013575308693873763,0.00012935628538135127,352,49,True,True,replicated_ASD_enhanced,35
ROI_055,ROI_052,54,51,0.19716932014573996,0.18889454652618634,0.19716932014573996,0.18889454652618634,0.19303193333596314,0.04230193837314035,0.034079524493302676,698,756,True,True,replicated_ASD_enhanced,159
ROI_055,ROI_059,54,58,0.20651543949688572,0.27854677546627743,0.20651543949688572,0.27854677546627743,0.24253110748158158,0.03332332235634505,0.0009333549847312685,593,120,True,True,replicated_ASD_enhanced,90
ROI_055,ROI_060,54,59,0.2214882646209065,0.28907943943853887,0.2214882646209065,0.28907943943853887,0.2552838520297227,0.020661504215850432,0.0005288544409419754,459,95,True,True,replicated_ASD_enhanced,67
ROI_056,ROI_076,55,75,-0.2803686714255327,-0.22608703307265543,0.2803686714255327,0.22608703307265543,0.25322785224909405,0.002420993555963758,0.01026896460607859,140,354,True,True,replicated_ASD_reduced,72
ROI_057,ROI_036,56,35,-0.21007919385505677,-0.24052320704462396,0.21007919385505677,0.24052320704462396,0.22530120044984037,0.02843631601426564,0.0056765046631365515,565,267,True,True,replicated_ASD_reduced,116
ROI_057,ROI_058,56,57,0.3193369047972219,0.3176441559525568,0.3193369047972219,0.3176441559525568,0.31849053037488934,0.0003137221379893897,0.0001375784948373762,57,47,True,True,replicated_ASD_enhanced,14
ROI_057,ROI_070,56,69,0.4111556688545154,0.20804859285872093,0.4111556688545154,0.20804859285872093,0.30960213085661814,5.363957848219825e-07,0.017671723985120374,17,527,True,True,replicated_ASD_enhanced,18
ROI_058,ROI_057,57,56,0.33683051539805936,0.3330690114318975,0.33683051539805936,0.3330690114318975,0.3349497634149784,0.00011968593649972575,5.070597018988538e-05,43,39,True,True,replicated_ASD_enhanced,10
ROI_059,ROI_032,58,31,-0.2340627470809859,-0.18569021318589582,0.2340627470809859,0.18569021318589582,0.20987648013344085,0.01354549902141078,0.038101682489229585,350,822,True,True,replicated_ASD_reduced,138
ROI_059,ROI_034,58,33,-0.2635322494751851,-0.21666119813091284,0.2635322494751851,0.21666119813091284,0.24009672380304897,0.0042732712883212925,0.013864276815727414,212,433,True,True,replicated_ASD_reduced,95
ROI_060,ROI_055,59,54,0.24147472338466533,0.3049670518340235,0.24147472338466533,0.3049670518340235,0.27322088760934443,0.010542665976321473,0.0002336053304469142,309,65,True,True,replicated_ASD_enhanced,41
ROI_060,ROI_090,59,89,0.2764178087792874,0.3468848086353921,0.2764178087792874,0.3468848086353921,0.31165130870733976,0.002616931222249092,1.9963386983435817e-05,154,26,True,True,replicated_ASD_enhanced,16
ROI_063,ROI_014,62,13,0.19229978703925976,0.1895132456843079,0.19229978703925976,0.1895132456843079,0.19090651636178385,0.04942438138216158,0.033667290253234,755,747,True,True,replicated_ASD_enhanced,165
ROI_063,ROI_018,62,17,0.1952549788403349,0.2128930065610604,0.1952549788403349,0.2128930065610604,0.20407399270069765,0.04655568941711074,0.015208164238239348,722,477,True,True,replicated_ASD_enhanced,144
ROI_064,ROI_028,63,27,-0.19487448114009195,-0.18813151998931818,0.19487448114009195,0.18813151998931818,0.19150300056470507,0.047559754740306937,0.035742543845436174,725,775,True,True,replicated_ASD_reduced,163
ROI_065,ROI_024,64,23,0.19458091728092491,0.2995626359883325,0.19458091728092491,0.2995626359883325,0.2470717766346287,0.04655568941711074,0.0003660272918177955,727,72,True,True,replicated_ASD_enhanced,81
ROI_065,ROI_088,64,87,0.2656088482734306,0.2531766502827327,0.2656088482734306,0.2531766502827327,0.25939274927808165,0.0039569164639083765,0.0034731813984958727,201,193,True,True,replicated_ASD_enhanced,57
ROI_067,ROI_026,66,25,0.24507564658236042,0.26104172548348664,0.24507564658236042,0.26104172548348664,0.25305868603292353,0.008980960099796077,0.002299552090315551,286,164,True,True,replicated_ASD_enhanced,73
