Source,Target,SourceIndex,TargetIndex,ABIDE_I_Hedges_g,ABIDE_II_Hedges_g,ABIDE_I_AbsHedges_g,ABIDE_II_AbsHedges_g,MeanAbsHedges_g,ABIDE_I_QValue,ABIDE_II_QValue,ABIDE_I_Rank,ABIDE_II_Rank,SameDirection,Replicated,ReplicationClass,ReplicatedRank
ROI_001,ROI_002,0,1,0.057042391020031544,0.20372037362671808,0.057042391020031544,0.20372037362671808,0.13038138232337482,0.6491291657197745,0.02145451866172055,4926,569,True,False,not_replicated,
ROI_001,ROI_003,0,2,-0.02509418666627407,-0.0321324229313974,0.02509418666627407,0.0321324229313974,0.028613304798835733,0.8630893113890311,0.7656540343236511,6603,6444,True,False,not_replicated,
ROI_001,ROI_004,0,3,-0.06376252248749004,-0.15691060070684287,0.06376252248749004,0.15691060070684287,0.11033656159716645,0.6094527988796268,0.07927381203280898,4577,1437,True,False,not_replicated,
ROI_001,ROI_005,0,4,-0.01226149581589404,-0.027723413717323862,0.01226149581589404,0.027723413717323862,0.01999245476660895,0.9373693678153976,0.7992182725337029,7322,6670,True,False,not_replicated,
ROI_001,ROI_006,0,5,-0.09262098796701876,-0.047162305124185844,0.09262098796701876,0.047162305124185844,0.0698916465456023,0.42281974492085495,0.6507767362592621,3283,5672,True,False,not_replicated,
ROI_001,ROI_007,0,6,0.03062739821869087,-0.015330454498110784,0.03062739821869087,0.015330454498110784,0.022978926358400827,0.825113139218047,0.8967624590703747,6325,7240,False,False,not_replicated,
ROI_001,ROI_008,0,7,-0.015462700564348366,-0.09199823957836158,0.015462700564348366,0.09199823957836158,0.05373047007135497,0.9173442826303253,0.33508563907917116,7153,3602,True,False,not_replicated,
ROI_001,ROI_009,0,8,0.04491350034541031,0.011362986331424012,0.04491350034541031,0.011362986331424012,0.02813824333841716,0.7350040361422114,0.9255086473010754,5555,7437,True,False,not_replicated,
ROI_001,ROI_010,0,9,-0.0017969476236657563,-0.05515736732217687,0.0017969476236657563,0.05515736732217687,0.028477157472921313,0.9903011742610295,0.5913677425698148,7918,5281,True,False,not_replicated,
ROI_001,ROI_011,0,10,0.07568163131504656,0.1396994855517453,0.07568163131504656,0.1396994855517453,0.10769055843339592,0.5264655010852809,0.12082522300534354,4024,1928,True,False,not_replicated,
ROI_001,ROI_012,0,11,-0.08289974991897701,0.10855992101878839,0.08289974991897701,0.10855992101878839,0.0957298354688827,0.4824922379865903,0.24217111215778978,3681,2958,False,False,not_replicated,
ROI_001,ROI_013,0,12,0.1380617887554626,0.18369988817836783,0.1380617887554626,0.18369988817836783,0.1608808384669152,0.19305710660113917,0.037966939966709315,1763,856,True,False,not_replicated,
ROI_001,ROI_014,0,13,0.04994034223971007,0.07581796085678771,0.04994034223971007,0.07581796085678771,0.06287915154824888,0.7020448723455267,0.43539833332561073,5276,4333,True,False,not_replicated,
ROI_001,ROI_015,0,14,0.05439877345687575,0.049696407366026395,0.05439877345687575,0.049696407366026395,0.05204759041145107,0.6721357595475874,0.6312950155602742,5051,5546,True,False,not_replicated,
ROI_001,ROI_016,0,15,-0.08192702730056761,-0.10299478395630542,0.08192702730056761,0.10299478395630542,0.09246090562843651,0.49271720922163664,0.2735216918653584,3727,3181,True,False,not_replicated,
ROI_001,ROI_017,0,16,-0.03250927059175635,0.06984825185727693,0.03250927059175635,0.06984825185727693,0.051178761224516645,0.8141076748135185,0.4749236558775078,6229,4605,False,False,not_replicated,
ROI_001,ROI_018,0,17,0.012147139724851253,0.10553997842212495,0.012147139724851253,0.10553997842212495,0.0588435590734881,0.9386359031176661,0.2566441798408977,7328,3082,True,False,not_replicated,
ROI_001,ROI_019,0,18,0.1901479605946782,0.040029531381743415,0.1901479605946782,0.040029531381743415,0.11508874598821081,0.052287750224213524,0.7065008056980832,784,6042,True,False,not_replicated,
ROI_001,ROI_020,0,19,0.0965839104128891,0.04984604231084648,0.0965839104128891,0.04984604231084648,0.0732149763618678,0.3951135972960585,0.6306743200477862,3127,5535,True,False,not_replicated,
ROI_001,ROI_021,0,20,-0.13454212820145992,-0.17328667624383792,0.13454212820145992,0.17328667624383792,0.1539144022226489,0.2070096569623416,0.052073550937014434,1868,1059,True,False,not_replicated,
ROI_001,ROI_022,0,21,-0.14780119465593877,-0.12156095280037055,0.14780119465593877,0.12156095280037055,0.13468107372815466,0.1599193742417206,0.18611843513537243,1500,2499,True,False,not_replicated,
ROI_001,ROI_023,0,22,-0.023280140420343143,-0.10769463141197355,0.023280140420343143,0.10769463141197355,0.06548738591615835,0.8738017803545931,0.24956739607848022,6707,2979,True,False,not_replicated,
ROI_001,ROI_024,0,23,-0.14141595953798858,-0.14459280903736232,0.14141595953798858,0.14459280903736232,0.14300438428767545,0.181166921467402,0.10844494833209414,1665,1773,True,False,not_replicated,
ROI_001,ROI_025,0,24,-0.0805523717397332,-0.06920133569689645,0.0805523717397332,0.06920133569689645,0.07487685371831482,0.49709748206534154,0.4839909314491379,3788,4628,True,False,not_replicated,
ROI_001,ROI_026,0,25,-0.131997885982814,-0.09708689051679828,0.131997885982814,0.09708689051679828,0.11454238824980614,0.21347037418662304,0.30765213946463715,1939,3399,True,False,not_replicated,
ROI_001,ROI_027,0,26,-0.009338344076888931,-0.06990246895109686,0.009338344076888931,0.06990246895109686,0.0396204065139929,0.9532123336099042,0.4794155267293069,7482,4600,True,False,not_replicated,
ROI_001,ROI_028,0,27,-0.039881713102380825,-0.07647657760798633,0.039881713102380825,0.07647657760798633,0.05817914535518358,0.766062620320015,0.43264215684466556,5839,4302,True,False,not_replicated,
